<BEGIN>
Bus/Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;
Bus3;79.48869;76.36429;74.28239;73.05317;73.83738;75.36535;79.64429;82.76558;84.57052;86.59017;85.83086;86.2323;83.49689;82.78425;82.42638;83.7863;90.93758;99.42077;96.98722;98.61788;98.45917;93.91261;88.99572;83.09856;79.08102;76.12778;72.70774;73.66622;74.43176;79.13393;84.66699;87.975;90.6046;94.49454;94.95511;93.5454;
Bus4;90.23282;86.68611;84.32281;82.92744;83.81765;85.55215;90.40945;93.95264;96.00154;98.29418;97.43223;97.88794;94.78279;93.97383;93.56759;95.11133;103.22921;112.85903;110.09655;111.94763;111.76746;106.60636;101.02487;94.33062;89.77006;86.41763;82.53532;83.62336;84.49237;89.83011;96.11105;99.86618;102.85122;107.26695;107.78977;106.18951;
Bus10;70.53963;67.76698;65.91947;64.82864;65.52456;66.88051;70.67771;73.4476;75.04933;76.84161;76.16778;76.52403;74.09658;73.46417;73.14659;74.35341;80.69957;88.2277;86.06813;87.51521;87.37437;83.33966;78.97633;73.74309;70.17786;67.5571;64.5221;65.37267;66.05203;70.22481;75.13494;78.07053;80.40408;83.85608;84.2648;83.0138;
Bus21;84.85813;81.52267;79.30014;77.98788;78.82507;80.45625;85.02423;88.35637;90.28323;92.43931;91.6287;92.05726;89.13708;88.3763;87.99425;89.44604;97.08038;106.13661;103.53867;105.27949;105.11006;100.25637;95.00735;88.71184;84.42292;81.27018;77.61912;78.64235;79.4596;84.4794;90.38621;93.91768;96.72491;100.87762;101.3693;99.86436;
Bus22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus26;88.06926;84.60758;82.30095;80.93904;81.8079;83.50081;88.24165;91.69988;93.69965;95.93733;95.09604;95.54082;92.51013;91.72057;91.32406;92.83078;100.75402;110.15294;107.4567;109.26339;109.08755;104.05019;98.60254;92.0688;87.61759;84.34555;80.55632;81.61827;82.46645;87.6762;93.80653;97.47163;100.38509;104.69495;105.20523;103.64334;
Bus29;80.48888;77.32516;75.21707;73.97238;74.76646;76.31366;80.64644;83.807;85.63465;87.67972;86.91085;87.31734;84.54751;83.82591;83.46353;84.84057;92.08182;100.67176;98.20759;99.85877;99.69806;95.09429;90.11553;84.14417;80.07608;77.08568;73.6226;74.59315;75.36832;80.12965;85.73233;89.08197;91.74466;95.68355;96.14991;94.72246;
Bus44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus53;25.6101;24.60346;23.9327;23.53667;23.78933;24.28162;25.66023;26.66586;27.24739;27.89809;27.65345;27.78279;26.90148;26.67188;26.55658;26.99473;29.29876;32.03192;31.24787;31.77325;31.72211;30.25727;28.67312;26.77315;25.47875;24.52726;23.42537;23.73418;23.98083;25.4958;27.27847;28.34426;29.19148;30.44476;30.59315;30.13896;
Bus58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus59;62.74869;60.28227;58.63881;57.66846;58.28752;59.49371;62.87152;65.33548;66.7603;68.35463;67.75522;68.07212;65.91278;65.35022;65.06771;66.14124;71.78648;78.48315;76.5621;77.84935;77.72406;74.13499;70.25357;65.59833;62.42688;60.09557;57.39578;58.15241;58.75673;62.46864;66.83646;69.44781;71.52363;74.59437;74.95794;73.84511;
Bus90;191.22031;183.70415;178.69588;175.73883;177.62535;181.30108;191.59462;199.10329;203.4453;208.30385;206.47721;207.44293;200.86255;199.14821;198.2873;201.55877;218.76209;239.1695;233.31528;237.23806;236.85626;225.9189;214.09069;199.90432;190.23962;183.1352;174.90786;177.21361;179.05522;190.36688;203.67737;211.63521;217.96106;227.31883;228.42679;225.03553;
Bus96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus118;370.87528;356.29756;346.58392;340.84866;344.50761;351.63675;371.60126;386.16447;394.58586;404.00911;400.46632;402.33935;389.57658;386.25159;384.58183;390.92691;424.29305;463.87361;452.51924;460.12754;459.38704;438.17383;415.2328;387.71807;368.97321;355.19407;339.23698;343.70903;347.28086;369.22004;395.03597;410.47035;422.73945;440.88901;443.03792;436.46052;
Bus124;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus128;12.49183;12.00082;11.67365;11.48047;11.60372;11.84384;12.51628;13.0068;13.29045;13.60785;13.48852;13.55161;13.12173;13.00974;12.9535;13.16721;14.29105;15.6242;15.24177;15.49803;15.47309;14.75858;13.98588;13.05913;12.42777;11.96366;11.42619;11.57682;11.69712;12.43608;13.30561;13.82547;14.23872;14.85004;14.92242;14.70088;
Bus145;20.18276;19.38945;18.86084;18.54873;18.74785;19.13581;20.22227;21.01478;21.47307;21.98588;21.79308;21.89501;21.20047;21.01952;20.92866;21.27395;23.08971;25.24366;24.62576;25.0398;24.9995;23.8451;22.59666;21.09933;20.07925;19.3294;18.46102;18.70439;18.89877;20.09268;21.49756;22.33749;23.00517;23.99285;24.10979;23.75186;
Bus148;17.02427;16.35511;15.90922;15.64596;15.81391;16.14116;17.05759;17.72609;18.11265;18.54521;18.38258;18.46856;17.88271;17.73008;17.65344;17.9447;19.4763;21.29316;20.77196;21.12121;21.08722;20.11347;19.06041;17.7974;16.93696;16.30445;15.57198;15.77726;15.94121;16.94829;18.13331;18.8418;19.40498;20.2381;20.33674;20.03482;
Bus150;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus163;77.78311;74.72574;72.68852;71.48567;72.25305;73.74824;77.93537;80.98968;82.75589;84.73221;83.98919;84.38202;81.7053;81.00795;80.65776;81.9885;88.98633;97.2875;94.90617;96.50185;96.34654;91.89753;87.08614;81.31552;77.38419;74.49431;71.14765;72.08557;72.83468;77.43596;82.85029;86.08732;88.6605;92.46698;92.91766;91.5382;
Bus171;53.06265;50.97695;49.58718;48.76662;49.29012;50.31011;53.16652;55.25014;56.45502;57.80324;57.29636;57.56434;55.73832;55.2626;55.0237;55.93152;60.70535;66.3683;64.74379;65.83234;65.72639;62.69133;59.40906;55.47242;52.79051;50.81907;48.53603;49.17586;49.6869;52.82583;56.51942;58.72768;60.48307;63.0798;63.38725;62.4462;
Bus174;195.03682;187.37065;182.26242;179.24634;181.17052;184.91962;195.4186;203.07714;207.5058;212.46132;210.59823;211.58323;204.87151;203.12295;202.24485;205.58162;223.12829;243.94301;237.97195;241.97302;241.5836;230.42795;218.36366;203.89415;194.03655;186.79034;178.39879;180.75056;182.62893;194.16636;207.74251;215.85918;222.31128;231.85582;232.98589;229.52695;
Bus184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus188;19.39313;18.63086;18.12294;17.82304;18.01436;18.38715;19.4311;20.19261;20.63297;21.12571;20.94046;21.0384;20.37103;20.19716;20.10985;20.44164;22.18636;24.25603;23.66231;24.06015;24.02143;22.91219;21.7126;20.27385;19.29368;18.57316;17.73876;17.97261;18.15938;19.30658;20.6565;21.46357;22.10512;23.05417;23.16653;22.8226;
Bus195;38.50201;36.98864;35.98022;35.38483;35.76467;36.50478;38.57737;40.08924;40.96349;41.94176;41.57397;41.76841;40.44346;40.09828;39.92494;40.58364;44.04751;48.15652;46.97778;47.76763;47.69076;45.48853;43.10693;40.25052;38.30454;36.87408;35.21751;35.68177;36.05258;38.33017;41.01022;42.61252;43.88623;45.7704;45.99349;45.31066;
Bus196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus198;20.91974;20.09746;19.54955;19.22605;19.43243;19.83456;20.96069;21.78215;22.25717;22.7887;22.58886;22.69451;21.97461;21.78706;21.69288;22.05078;23.93284;26.16544;25.52498;25.95414;25.91237;24.71581;23.42179;21.86978;20.81245;20.03522;19.13514;19.38739;19.58886;20.82637;22.28256;23.15315;23.84521;24.86896;24.99017;24.61917;
Bus207;169.49516;162.83294;158.39367;155.77257;157.44476;160.70288;169.82694;176.48253;180.33122;184.63778;183.01867;183.87467;178.04191;176.52234;175.75924;178.65903;193.90782;211.99668;206.80758;210.28468;209.94626;200.25153;189.76716;177.19255;168.62588;162.32862;155.03601;157.0798;158.71218;168.73869;180.53693;187.59066;193.1978;201.4924;202.47448;199.46852;
Bus216;81.9102;78.69062;76.5453;75.27863;76.08673;77.66125;82.07054;85.28692;87.14684;89.22802;88.44557;88.85924;86.0405;85.30616;84.93738;86.33873;93.70786;102.44948;99.9418;101.62214;101.45859;96.77352;91.70684;85.63004;81.49012;78.4469;74.92268;75.91036;76.69922;81.54463;87.24625;90.65503;93.36474;97.37318;97.84778;96.39512;
Bus217;55.37888;53.20214;51.7517;50.89532;51.44167;52.50619;55.48728;57.66185;58.91933;60.3264;59.79739;60.07707;58.17134;57.67486;57.42553;58.37297;63.35519;69.26533;67.5699;68.70597;68.5954;65.42786;62.00231;57.89383;55.09486;53.03737;50.65466;51.32243;51.85577;55.13172;58.98654;61.29119;63.1232;65.83328;66.15416;65.17202;
