<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
1;g1;0.0;0;FALSE;FALSE;24;
2;g2;0.0;0;FALSE;FALSE;24;
3;g3;0.0;1;FALSE;FALSE;24;
4;g4;0.0;1;FALSE;FALSE;24;
5;g5;1977.722509434555;1;FALSE;FALSE;24;
6;g6;0.0;0;FALSE;FALSE;24;
7;g7;0.0;1;FALSE;FALSE;24;
8;g8;0.0;0;FALSE;FALSE;24;
9;g9;0.0;1;FALSE;FALSE;24;
10;g10;0.0;1;FALSE;FALSE;24;
11;g11;0.0;1;FALSE;FALSE;24;
12;g12;0.0;0;FALSE;FALSE;24;
13;g13;0.0;1;FALSE;FALSE;24;
14;g14;0.0;0;FALSE;FALSE;24;
15;g15;0.0;0;FALSE;FALSE;24;
16;g16;0.0;1;FALSE;FALSE;24;
17;g17;0.0;1;FALSE;FALSE;24;
18;g18;0.0;0;FALSE;FALSE;24;
19;g19;0.0;0;FALSE;FALSE;24;
20;g20;0.0;1;FALSE;FALSE;24;
21;g21;0.0;0;FALSE;FALSE;24;
22;g22;0.0;0;FALSE;FALSE;24;
23;g23;0.0;0;FALSE;FALSE;24;
24;g24;2385.4115572114415;1;FALSE;FALSE;24;
25;g25;1975.0028144407834;1;FALSE;FALSE;24;
26;g26;0.0;1;FALSE;FALSE;24;
27;g27;0.0;0;FALSE;FALSE;24;
28;g28;0.0;0;FALSE;FALSE;24;
29;g29;0.0;1;FALSE;FALSE;24;
30;g30;0.0;0;FALSE;FALSE;24;
31;g31;0.0;0;FALSE;FALSE;24;
32;g32;0.0;1;FALSE;FALSE;24;
33;g33;1952.833704760094;1;FALSE;FALSE;24;
34;g34;0.0;0;FALSE;FALSE;24;
35;g35;0.0;1;FALSE;FALSE;24;
36;g36;0.0;1;FALSE;FALSE;24;
37;g37;0.0;1;FALSE;FALSE;24;
38;g38;0.0;1;FALSE;FALSE;24;
39;g39;0.0;0;FALSE;FALSE;24;
40;g40;0.0;0;FALSE;FALSE;24;
41;g41;0.0;0;FALSE;FALSE;24;
