<BEGIN>
<Buses>
ID;Name;Reference bus;Base voltage (kV);Area;Subsystem market - Name;Subsystem market - ID
3;Bus3;Ref;45;1;sys1;1
4;Bus4;;45;1;sys1;1
10;Bus10;;45;1;sys1;1
21;Bus21;;45;1;sys1;1
22;Bus22;;45;1;sys1;1
26;Bus26;;45;1;sys1;1
29;Bus29;;45;1;sys1;1
44;Bus44;;45;1;sys1;1
53;Bus53;;45;1;sys1;1
58;Bus58;;45;1;sys1;1
59;Bus59;;45;1;sys1;1
90;Bus90;;45;1;sys1;1
96;Bus96;;45;1;sys1;1
113;Bus113;;45;1;sys1;1
115;Bus115;;45;1;sys1;1
118;Bus118;;45;1;sys1;1
124;Bus124;;45;1;sys1;1
128;Bus128;;45;1;sys1;1
145;Bus145;;45;1;sys1;1
148;Bus148;;45;1;sys1;1
150;Bus150;;45;1;sys1;1
163;Bus163;;45;1;sys1;1
171;Bus171;;45;1;sys1;1
174;Bus174;;45;1;sys1;1
184;Bus184;;45;1;sys1;1
188;Bus188;;45;1;sys1;1
195;Bus195;;45;1;sys1;1
196;Bus196;;45;1;sys1;1
198;Bus198;;45;1;sys1;1
207;Bus207;;45;1;sys1;1
216;Bus216;;45;1;sys1;1
217;Bus217;;45;1;sys1;1
218;Bus218;;45;1;sys1;1
221;Bus221;;45;1;sys1;1
225;Bus225;;45;1;sys1;1
280;Bus280;;45;1;sys1;1
283;Bus283;;45;1;sys1;1
292;Bus292;;45;1;sys1;1
305;Bus305;;45;1;sys1;1
306;Bus306;;45;1;sys1;1
314;Bus314;;45;1;sys1;1
333;Bus333;;45;1;sys1;1
338;Bus338;;45;1;sys1;1
346;Bus346;;45;1;sys1;1
350;Bus350;;45;1;sys1;1
352;Bus352;;45;1;sys1;1
367;Bus367;;45;1;sys1;1
401;Bus401;;45;1;sys1;1
408;Bus408;;45;1;sys1;1
410;Bus410;;45;1;sys1;1
413;Bus413;;45;1;sys1;1
416;Bus416;;45;1;sys1;1
426;Bus426;;45;1;sys1;1
432;Bus432;;45;1;sys1;1
444;Bus444;;45;1;sys1;1
449;Bus449;;45;1;sys1;1
453;Bus453;;45;1;sys1;1
455;Bus455;;45;1;sys1;1
490;Bus490;;45;1;sys1;1
500;Bus500;;45;1;sys1;1
502;Bus502;;45;1;sys1;1
506;Bus506;;45;1;sys1;1
513;Bus513;;45;1;sys1;1
516;Bus516;;45;1;sys1;1
520;Bus520;;45;1;sys1;1
549;Bus549;;45;1;sys1;1
554;Bus554;;45;1;sys1;1
556;Bus556;;45;1;sys1;1
561;Bus561;;45;1;sys1;1
564;Bus564;;45;1;sys1;1
575;Bus575;;45;1;sys1;1
583;Bus583;;45;1;sys1;1
594;Bus594;;45;1;sys1;1
601;Bus601;;45;1;sys1;1
604;Bus604;;45;1;sys1;1
608;Bus608;;45;1;sys1;1
609;Bus609;;45;1;sys1;1
615;Bus615;;45;1;sys1;1
616;Bus616;;45;1;sys1;1
619;Bus619;;45;1;sys1;1
639;Bus639;;45;1;sys1;1
641;Bus641;;45;1;sys1;1
658;Bus658;;45;1;sys1;1
661;Bus661;;45;1;sys1;1
