<BEGIN>;
<Hydro plants>;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
</Hydro plants>;
<Thermal plants>;
ID;Name;Minimum power output (MW);Maximum power output (MW);Unitary linear cost ($/MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus id;Constant cost ($);Start-up cost ($);Shut-down cost ($);Comments
1;g1;390.47561164702506;980.9947195300276;73.36421382457792;686.7;686.7;1;1;124;0;209.25590051098814;0;
2;g2;21.311278976399308;156.86049820584097;25.71889679904478;109.8;109.8;1;1;150;0;14.620586942223996;0;
3;g3;0;281.0973543772112;55.70984336936184;196.77;196.77;0;0;221;0;0;0;
4;g4;0;118.53364710462252;24.989498158221863;82.97;82.97;0;0;338;0;25.129867212085806;0;
5;g5;673.4256686902808;1977.7225094345622;89.39864602092766;1384.41;1384.41;1;1;352;0;271.6734895611218;0;
6;g6;35.44918402460905;276.2611556878122;38.06504174641139;193.38;193.38;2;2;413;0;97.71513628380171;0;
7;g7;0;540.0;223.07396188115501;378.0;378.0;0;0;453;0;21.120655350769574;0;
8;g8;214.67735970601302;599.7329321850343;69.49194356642472;419.81;419.81;1;1;516;0;194.66128674553656;0;
9;g9;0;133.2542828730251;18.235004821166186;93.28;93.28;0;0;564;0;31.37566175161127;0;
10;g10;0;403.3786422159037;46.147252829212384;282.37;282.37;0;0;583;0;28.691306642692;0;
11;g11;0;31.463272249994723;38.91357684761367;22.02;22.02;0;0;615;0;15.405785933969565;0;
12;g12;164.16379458172716;479.72546474349105;52.776485270906036;335.81;335.81;4;4;616;0;114.85939137605033;0;
13;g13;0;131.8695314029672;13.688370933514587;92.31;92.31;0;0;639;0;28.070101454349807;0;
14;g14;14.905134068425173;73.27190787070224;54.63412420571974;51.29;51.29;2;2;682;0;62.68011397778231;0;
15;g15;37.559301354184946;237.32736486825468;23.554199529759998;166.13;166.13;2;2;749;0;56.68104856495124;0;
16;g16;0;118.77259798631351;27.155823030450236;83.14;83.14;0;0;757;0;0;0;
17;g17;0;209.05904197367877;33.36674495815778;146.34;146.34;0;0;776;0;0;0;
18;g18;0;26.693287489872773;27.736566939447794;18.69;18.69;0;0;778;0;13.715827863580591;0;
19;g19;13.240409094196504;77.37597953893604;58.21481531392912;54.16;54.16;1;1;795;0;61.77191963348421;0;
20;g20;0;177.79853730580857;30.600481036300717;124.46;124.46;0;0;803;0;28.560734442527252;0;
21;g21;671.2632095772617;1985.4738010828846;99.76273867505061;1389.83;1389.83;1;1;823;0;365.1071611541514;0;
22;g22;16.500049967737727;195.0486186461856;14.819853328005985;136.53;136.53;1;1;851;0;46.54730383119148;0;
23;g23;388.5436943517658;987.4454893295529;77.16732550784275;691.21;691.21;4;4;858;0;194.281416995758;0;
24;g24;840.8139059491433;2385.4115572114415;91.35439337195966;1669.79;1669.79;2;2;891;0;281.95459755988185;0;
25;g25;674.7103255179883;1975.0028144407834;83.92109526485017;1382.5;1382.5;4;4;972;0;244.8445142719967;0;
26;g26;0;118.82223351842109;26.030864715800504;83.18;83.18;0;0;1001;0;0;0;
27;g27;5.6380407117928755;195.80259885133813;13.897678271928584;137.06;137.06;2;2;1002;0;42.36257236862108;0;
28;g28;348.5187103334206;887.2350539239045;69.46988956383522;621.06;621.06;4;4;1043;0;184.10391275650906;0;
29;g29;0;118.98505449799936;26.47424775711924;83.29;83.29;0;0;1083;0;28.912704698343855;0;
30;g30;430.7358602721748;1185.720074236946;73.91383084066715;830.0;830.0;4;4;1093;0;274.3920368001555;0;
31;g31;10.528326132094197;75.36065183359683;73.71576141822462;52.75;52.75;2;2;1100;0;34.237430673687754;0;
32;g32;0;246.85438344568485;25.869209917150094;172.8;172.8;0;0;1102;0;0;0;
33;g33;682.2405444876268;1952.833704760094;75.84389998747879;1366.98;1366.98;4;4;1237;0;162.11259414135105;0;
34;g34;420.42387796464493;1190.5037462669407;81.40850472881688;833.35;833.35;2;2;1251;0;313.86381706771095;0;
35;g35;0;235.34302325240748;37.66235432763198;164.74;164.74;0;0;1295;0;0;0;
36;g36;0;118.3729556294635;22.339857638049512;82.86;82.86;0;0;1341;0;33.71093608049826;0;
37;g37;0;357.7929802922357;49.393113618052624;250.46;250.46;0;0;1354;0;26.646167787837182;0;
38;g38;0;202.93782268165043;26.669481558251068;142.06;142.06;0;0;1422;0;0;0;
39;g39;10.202030298071316;78.20671253131289;65.64153490862698;54.74;54.74;1;1;1436;0;47.27760278303497;0;
40;g40;9.239497669470989;77.31766031650282;65.99325766627143;54.12;54.12;1;1;1478;0;54.63584549952343;0;
41;g41;15.604846078681705;77.20426903734742;61.63343363641145;54.04;54.04;4;4;1604;0;58.75424744020045;0;
42;g42;10.17138431579237;76.08827193312919;43.131612223590515;53.26;53.26;2;2;1642;0;24.399760891961265;0;
43;g43;671.2653106857122;1986.5634522248456;109.8031157425536;1390.59;1390.59;4;4;1680;0;383.92972009779226;0;
44;g44;388.63770350641835;987.4220410377147;76.4127988676737;691.2;691.2;4;4;1708;0;210.12194061412168;0;
45;g45;0;35.591415599803724;41.32046557414856;24.91;24.91;0;0;1721;0;0;0;
46;g46;0;26.912665730390945;35.166953155361476;18.84;18.84;0;0;1754;0;11.309632956831807;0;
47;g47;673.7005482656409;1977.6555449374046;104.14574472603502;1384.36;1384.36;1;1;1794;0;406.32954637828004;0;
48;g48;5.831828704247651;89.58665603541033;14.80513580443286;62.71;62.71;4;4;1808;0;21.575458839221458;0;
49;g49;2.2646877999759676;27.477349993357027;35.13401840857462;19.23;19.23;2;2;1851;0;10.058168889356557;0;
50;g50;0;352.5930148270289;54.822080301472056;246.82;246.82;0;0;1852;0;26.512320848450205;0;
51;g51;330.03779262024216;905.0269437862053;69.7760730865073;633.52;633.52;1;1;1888;0;202.72234628863097;0;
52;g52;39.35;472.16;225.57928988662036;330.51;330.51;4;4;1914;0;15.664040858514738;0;
53;g53;0;30.153052854788854;41.8744850841658;21.11;21.11;0;0;1959;0;20.124845679633612;0;
54;g54;375.75494633243693;993.8018155851901;77.85656460990555;695.66;695.66;2;2;2035;0;193.4255542684426;0;
55;g55;677.5397498402984;1965.051913383471;85.48805546332751;1375.54;1375.54;2;2;2050;0;234.2599150000236;0;
56;g56;15.637245680403138;188.0758690257163;14.44442490469487;131.65;131.65;4;4;2085;0;46.42199689801149;0;
57;g57;0;238.22858563827202;33.136949497361186;166.76;166.76;0;0;2177;0;20.527381761675805;0;
58;g58;0;146.4997819876013;22.617992390520353;102.55;102.55;0;0;2197;0;30.18834404654791;0;
