<BEGIN>
<Buses>
ID;Name;Reference bus;Base voltage (kV);Area;Subsystem market - Name;Subsystem market - ID
10000;Bus10000;Ref;45;1;sys1;1
10001;Bus10001;;45;1;sys1;1
10002;Bus10002;;45;1;sys1;1
10003;Bus10003;;45;1;sys1;1
10004;Bus10004;;45;1;sys1;1
10005;Bus10005;;45;1;sys1;1
10006;Bus10006;;45;1;sys1;1
10007;Bus10007;;45;1;sys1;1
10008;Bus10008;;45;1;sys1;1
10009;Bus10009;;45;1;sys1;1
10010;Bus10010;;45;1;sys1;1
10011;Bus10011;;45;1;sys1;1
10012;Bus10012;;45;1;sys1;1
10013;Bus10013;;45;1;sys1;1
10014;Bus10014;;45;1;sys1;1
10015;Bus10015;;45;1;sys1;1
10016;Bus10016;;45;1;sys1;1
10017;Bus10017;;45;1;sys1;1
10018;Bus10018;;45;1;sys1;1
10019;Bus10019;;45;1;sys1;1
10020;Bus10020;;45;1;sys1;1
10021;Bus10021;;45;1;sys1;1
10022;Bus10022;;45;1;sys1;1
10023;Bus10023;;45;1;sys1;1
10024;Bus10024;;45;1;sys1;1
10025;Bus10025;;45;1;sys1;1
10026;Bus10026;;45;1;sys1;1
10027;Bus10027;;45;1;sys1;1
10028;Bus10028;;45;1;sys1;1
10029;Bus10029;;45;1;sys1;1
10030;Bus10030;;45;1;sys1;1
10031;Bus10031;;45;1;sys1;1
10032;Bus10032;;45;1;sys1;1
10033;Bus10033;;45;1;sys1;1
10034;Bus10034;;45;1;sys1;1
10035;Bus10035;;45;1;sys1;1
10036;Bus10036;;45;1;sys1;1
10037;Bus10037;;45;1;sys1;1
10038;Bus10038;;45;1;sys1;1
10039;Bus10039;;45;1;sys1;1
10040;Bus10040;;45;1;sys1;1
10041;Bus10041;;45;1;sys1;1
10042;Bus10042;;45;1;sys1;1
10043;Bus10043;;45;1;sys1;1
10044;Bus10044;;45;1;sys1;1
10045;Bus10045;;45;1;sys1;1
10046;Bus10046;;45;1;sys1;1
10047;Bus10047;;45;1;sys1;1
10048;Bus10048;;45;1;sys1;1
10049;Bus10049;;45;1;sys1;1
10050;Bus10050;;45;1;sys1;1
10051;Bus10051;;45;1;sys1;1
10052;Bus10052;;45;1;sys1;1
10053;Bus10053;;45;1;sys1;1
10054;Bus10054;;45;1;sys1;1
10055;Bus10055;;45;1;sys1;1
10056;Bus10056;;45;1;sys1;1
10057;Bus10057;;45;1;sys1;1
10058;Bus10058;;45;1;sys1;1
10059;Bus10059;;45;1;sys1;1
10060;Bus10060;;45;1;sys1;1
10061;Bus10061;;45;1;sys1;1
10062;Bus10062;;45;1;sys1;1
10063;Bus10063;;45;1;sys1;1
10064;Bus10064;;45;1;sys1;1
10065;Bus10065;;45;1;sys1;1
10066;Bus10066;;45;1;sys1;1
10067;Bus10067;;45;1;sys1;1
10068;Bus10068;;45;1;sys1;1
10069;Bus10069;;45;1;sys1;1
10070;Bus10070;;45;1;sys1;1
10071;Bus10071;;45;1;sys1;1
10072;Bus10072;;45;1;sys1;1
10073;Bus10073;;45;1;sys1;1
10074;Bus10074;;45;1;sys1;1
10075;Bus10075;;45;1;sys1;1
10076;Bus10076;;45;1;sys1;1
10077;Bus10077;;45;1;sys1;1
10078;Bus10078;;45;1;sys1;1
10079;Bus10079;;45;1;sys1;1
10080;Bus10080;;45;1;sys1;1
10081;Bus10081;;45;1;sys1;1
10082;Bus10082;;45;1;sys1;1
10083;Bus10083;;45;1;sys1;1
10084;Bus10084;;45;1;sys1;1
10085;Bus10085;;45;1;sys1;1
10086;Bus10086;;45;1;sys1;1
10087;Bus10087;;45;1;sys1;1
10088;Bus10088;;45;1;sys1;1
10089;Bus10089;;45;1;sys1;1
10090;Bus10090;;45;1;sys1;1
10091;Bus10091;;45;1;sys1;1
10092;Bus10092;;45;1;sys1;1
10093;Bus10093;;45;1;sys1;1
10094;Bus10094;;45;1;sys1;1
10095;Bus10095;;45;1;sys1;1
10096;Bus10096;;45;1;sys1;1
10097;Bus10097;;45;1;sys1;1
10098;Bus10098;;45;1;sys1;1
10099;Bus10099;;45;1;sys1;1
10100;Bus10100;;45;1;sys1;1
10101;Bus10101;;45;1;sys1;1
10102;Bus10102;;45;1;sys1;1
10103;Bus10103;;45;1;sys1;1
10104;Bus10104;;45;1;sys1;1
10105;Bus10105;;45;1;sys1;1
10106;Bus10106;;45;1;sys1;1
10107;Bus10107;;45;1;sys1;1
10108;Bus10108;;45;1;sys1;1
10109;Bus10109;;45;1;sys1;1
10110;Bus10110;;45;1;sys1;1
10111;Bus10111;;45;1;sys1;1
10112;Bus10112;;45;1;sys1;1
10113;Bus10113;;45;1;sys1;1
