<BEGIN>
Bus/Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;
Bus1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus3;7.7417;7.4374;7.23464;7.11492;7.1913;7.34011;7.75686;8.06085;8.23664;8.43334;8.35939;8.39849;8.13207;8.06267;8.02781;8.16026;8.85675;9.68296;9.44595;9.60477;9.58931;9.1465;8.66763;8.09328;7.702;7.41437;7.08128;7.17463;7.24919;7.70715;8.24603;8.56821;8.82432;9.20318;9.24803;9.11074;
Bus4;25.94516;24.92535;24.24582;23.8446;24.10057;24.5993;25.99595;27.01474;27.60387;28.26309;28.01525;28.14628;27.25344;27.02083;26.90402;27.3479;29.68209;32.451;31.65669;32.18894;32.13714;30.65314;29.04826;27.12342;25.8121;24.84816;23.73185;24.0447;24.29458;25.82937;27.63536;28.7151;29.5734;30.84308;30.99341;30.53328;
Bus5;6.74783;6.4826;6.30587;6.20152;6.26809;6.3978;6.76104;7.02601;7.17923;7.35068;7.28622;7.3203;7.08809;7.0276;6.99722;7.11266;7.71974;8.43988;8.23329;8.37172;8.35825;7.97229;7.55489;7.05428;6.71323;6.46252;6.1722;6.25356;6.31855;6.71772;7.18742;7.46824;7.69147;8.02169;8.06079;7.94111;
Bus6;6.80014;6.53285;6.35475;6.24959;6.31668;6.4474;6.81345;7.08048;7.23489;7.40766;7.34271;7.37705;7.14304;7.08207;7.05146;7.1678;7.77958;8.5053;8.29712;8.43662;8.42304;8.03409;7.61346;7.10896;6.76527;6.51262;6.22004;6.30204;6.36753;6.76979;7.24314;7.52613;7.75109;8.08387;8.12327;8.00267;
Bus7;1.2031;1.15581;1.1243;1.1057;1.11757;1.14069;1.20546;1.2527;1.28002;1.31059;1.29909;1.30517;1.26377;1.25298;1.24757;1.26815;1.37639;1.50478;1.46795;1.49263;1.49023;1.42142;1.347;1.25774;1.19693;1.15223;1.10047;1.11498;1.12656;1.19773;1.28148;1.33155;1.37135;1.43022;1.43719;1.41586;
Bus8;8.26479;7.93993;7.72347;7.59566;7.6772;7.83607;8.28097;8.6055;8.79317;9.00316;8.92421;8.96595;8.68154;8.60744;8.57023;8.71163;9.45518;10.33722;10.08419;10.25374;10.23723;9.76451;9.25328;8.64012;8.2224;7.91534;7.55974;7.6594;7.739;8.2279;8.8032;9.14715;9.42056;9.82501;9.8729;9.72633;
Bus9;7.79401;7.48766;7.28352;7.163;7.23989;7.38971;7.80927;8.11532;8.29229;8.49032;8.41587;8.45523;8.18702;8.11715;8.08206;8.2154;8.91659;9.74839;9.50977;9.66966;9.6541;9.2083;8.72619;8.14796;7.75404;7.46447;7.12913;7.22311;7.29817;7.75922;8.30175;8.62611;8.88394;9.26536;9.31052;9.1723;
Bus10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus11;17.36652;16.68391;16.22906;15.9605;16.13183;16.46566;17.40051;18.08245;18.47679;18.91804;18.75214;18.83985;18.24222;18.08653;18.00834;18.30545;19.86785;21.72124;21.18956;21.54582;21.51115;20.51783;19.44359;18.1552;17.27745;16.63223;15.88503;16.09444;16.26169;17.28901;18.49786;19.22059;19.7951;20.64497;20.74559;20.4376;
Bus12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus14;33.05916;31.75972;30.89387;30.38264;30.70879;31.34427;33.12387;34.42201;35.17268;36.01265;35.69685;35.86381;34.72616;34.42977;34.28093;34.84652;37.82072;41.34886;40.33675;41.01494;40.94894;39.05803;37.01311;34.56049;32.88961;31.66136;30.23898;30.63761;30.95599;32.91161;35.2128;36.58859;37.68224;39.30005;39.4916;38.90531;
Bus15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus16;7.27092;6.98513;6.7947;6.68226;6.75399;6.89376;7.28515;7.57066;7.73576;7.9205;7.85105;7.88777;7.63756;7.57237;7.53964;7.66403;8.31816;9.09413;8.87153;9.02069;9.00617;8.59029;8.14054;7.60112;7.23363;6.9635;6.65066;6.73833;6.80836;7.23847;7.74459;8.04717;8.28771;8.64352;8.68565;8.55671;
Bus17;5.70166;5.47755;5.32821;5.24004;5.29629;5.40589;5.71282;5.93671;6.06617;6.21104;6.15658;6.18537;5.98916;5.93805;5.91238;6.00992;6.52288;7.13137;6.95681;7.07378;7.0624;6.73627;6.38359;5.96059;5.67242;5.46058;5.21527;5.28402;5.33893;5.67621;6.07309;6.31037;6.49899;6.77802;6.81105;6.70993;
