<BEGIN>;
<Hydro plants>;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
</Hydro plants>;
<Thermal plants>;
ID;Name;Minimum power output (MW);Maximum power output (MW);Unitary linear cost ($/MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus id;Constant cost ($);Start-up cost ($);Shut-down cost ($);Comments
1;g1;2.1837968259237046;11.911817207771064;890.7775710344869;8.34;8.34;1;1;4;0;0.0;0;
2;g2;0;9.605513095785513;0.0;6.72;6.72;0;0;4;0;0;0;
3;g3;0;8.730503539273638;0.0;6.11;6.11;0;0;5;0;0;0;
4;g4;4.666192902908522;26.607101497835615;1509.4709225496645;18.62;18.62;4;4;11;0;0.0;0;
5;g5;1.3888295274945985;17.571842288316446;803.1203470937899;12.3;12.3;1;1;11;0;0.0;0;
6;g6;0;7.618067863410532;0.0;5.33;5.33;0;0;17;0;0.0;0;
7;g7;0;0.12725156196610854;206.85818251338583;0.09;0.09;0;0;19;0;0.0;0;
8;g8;0;9.570013349786834;0.0;6.7;6.7;0;0;22;0;0;0;
9;g9;1.955819692119539;15.983969819181114;1056.3866144503013;11.19;11.19;2;2;24;0;0.0;0;
10;g10;3.2875006979557337;28.379350410242576;0.0;19.87;19.87;2;2;24;0;0.0;0;
11;g11;2.085473608050886;27.959229862872444;0.0;19.57;19.57;2;2;25;0;0.0;0;
12;g12;5.215617801746285;26.44213767942852;67.34619455175107;18.51;18.51;4;4;25;0;0.0;0;
13;g13;0;7.330648602627563;0.0;5.13;5.13;0;0;40;0;0.0;0;
14;g14;2.2943981294504745;15.649773077629243;1618.820813556052;10.95;10.95;2;2;47;0;0.0;0;
