ITAIPU;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637
TUCURUI;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937;4937
BELO MONTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JIRAU;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027;32027
STO ANTONIO;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486;486
I. SOLTEIRA;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553
XINGO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P.AFONSO 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITUMBIARA;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172
TELES PIRES;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744;1744
SAO SIMAO;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697;697
G.B. MUNHOZ;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251
JUPIA;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603
P. PRIMAVERA;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951;951
MARIMBONDO;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542
ITAPARICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITA;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81
SLT.SANTIAGO;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47
P.AFONSO 123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A. VERMELHA;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316
FURNAS;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522
SERRA MESA;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209
SEGREDO;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61
SALTO CAXIAS;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116
EMBORCACAO;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128
MACHADINHO;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57
LC BARRETO;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
ESTREITO TOC;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866
SALTO OSORIO;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
SOBRADINHO;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401;1401
LAJEADO;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758;758
CAMPOS NOVOS;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
TRES IRMAOS;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
BARRA GRANDE;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106
CACH.DOURADA;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49
MOXOTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TRES MARIAS;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384;384
PIMENTAL;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411;5411
CHAVANTES;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97
ROSANA;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152
TAQUARUCU;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65
CAPIVARA;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265;265
FONTES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NILO PEÇANHA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PEREIRA PASSOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FUNIL;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220
LAJES;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
PARAIBUNA;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93
SANTA BRANCA;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16
JAGUARI;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47
SANTA CECÍLIA;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118
SANTANA;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
VIGARIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PICADA;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60
SOBRAGI;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68
