<BEGIN>;;
ID;Name;Initial reservoir volume (hm3)
1;ITAIPU;28476.24591
2;TUCURUI;19385.6632
3;BELO MONTE;2255.770708
4;JIRAU;2746.7
5;STO ANTONIO;2282.8
6;I. SOLTEIRA;18897.4802
7;XINGO;3761.1074
8;P.AFONSO 4;115.7354
9;ITUMBIARA;6839.628
10;TELES PIRES;897.22
11;SAO SIMAO;9001.602
12;G.B. MUNHOZ;2684.013
13;JUPIA;3025.1465
14;P. PRIMAVERA;16195.03182
15;MARIMBONDO;2321.772
16;ITAPARICA;8436.772
17;ITA;4718.88641
18;SLT.SANTIAGO;3431.131
19;P.AFONSO 123;26
20;A. VERMELHA;7043.3193
21;FURNAS;8210.5263
22;SERRA MESA;15154.95
23;SEGREDO;2650.7744
24;SALTO CAXIAS;3490.331928
25;EMBORCACAO;6248.776
26;MACHADINHO;2547.4614
27;LC BARRETO;1363.451935
28;ESTREITO TOC;4361.793216
29;SALTO OSORIO;1079.658169
30;SOBRADINHO;14159.5091
31;LAJEADO;4936.232079
32;CAMPOS NOVOS;1382.8471
33;TRES IRMAOS;11916.1771
34;BARRA GRANDE;3087.83119
35;CACH.DOURADA;452.79095
36;MOXOTO;1089.826
37;TRES MARIAS;13218.186
38;PIMENTAL;2384.218876
39;CHAVANTES;6242.9928
40;ROSANA;1770.6329
41;TAQUARUCU;658.04432
42;CAPIVARA;7438.1644
43;FONTES;467
44;NILO PEÇANHA;38
45;PEREIRA PASSOS;15.4
46;FUNIL;628.576
47;LAJES;380.99837
48;PARAIBUNA;2995.9304
49;SANTA BRANCA;292.9464
50;JAGUARI;871.6165
51;SANTA CECÍLIA;5.2
52;SANTANA;10.1076
53;VIGARIO;17.4882
54;PICADA;7
55;SOBRAGI;0.087
56;SIMPLÍCIO;126.5
57;ILHA DOS POMBOS;8
58;CORUMBÁ IV;3157.29754
59;CORUMBÁ III;791.3716
60;CORUMBÁ I;846.98
61;BATALHA;782.266536
62;SERRA DO FACÃO;2318.3421
63;NOVA PONTE;3966.924
64;MIRANDA;1101.24672
65;AMADOR AGUIAR I;235.986
66;AMADOR AGUIAR II;863.93452
67;ESPORA;115.33756
68;SALTO;1185.665568
69;SALTO DO RIO VERDINHO;391.27368
70;CAÇU;231.7424
71;BARRA DOS COQUEIROS;328.804752
72;FOZ DO RIO CLARO;95.33
73;CAMARGOS;365.952
74;ITUTINGA;8.394
75;FUNIL - GRANDE;266.05618
76;MASCARENHAS DE MORAES;2587
77;JAGUARA;380.295
78;IGARAPAVA;237.551965
79;VOLTA GRANDE;2186.7284
80;PORTO COLÔMBIA;1319.93065
81;CACONDE;292.037474
82;E. DA CUNHA;12.572247
83;A. S. OLIVEIRA;23.434556
84;SÃO DOMINGOS;131.3
85;GUARAPIRANGA;139.06789
86;BILLINGS;838.4158
87;PEDREIRA;0.64
88;TRAIÇÃO;0.64
90;EDGARD DE SOUZA;0.64
91;BARRA BONITA;2223.3002
92;BARIRI;507.599217
93;IBITINGA;938.998125
94;PROMISSÃO;6031.36236
95;N.AVANHANDAVA;2691.9738
96;HENRY BORDEN;1
97;JURUMIRIM;4908.744016
98;PIRAJU;103.496172
99;OURINHOS;22.34
100;L. N. GARCEZ;41.98972
101;CANOAS II;151
102;CANOAS I;212
103;MAUÁ;1643.3824
104;SANTA CLARA - PR;244.7966
105;FUNDÃO;30.6
106;JORDÃO;110
107;BAIXO IGUAÇU;211.92
108;MANSO;5916.9788
109;ITIQUIRA I;5
110;ITIQUIRA II;0.72
111;PONTE PEDRA;93.94224
112;JAURU;17.15
113;PASSO FUNDO;569.565445
114;MONJOLINHO;145.514572
115;GARIBALDI;265.398352
116;QUEBRA-QUEIXO;122.765315
117;SÃO JOSÉ;182.672736
118;PASSO S. JOÃO;86.76031
119;FOZ DO CHAPECÓ;1469.156853
120;ERNESTINA;236.8875
121;PASSO REAL;2577.3996
122;JACUÍ;22.948841
123;ITAÚBA;572.55582
124;DONA FRANCISCA;316.662208
125;CASTRO ALVES;88.765191
126;MONTE CLARO;11.35
127;14 DE JULHO;51.479824
128;SALTO PILÃO;0.1884
129;CAPIVARI-CACHOEIRA;46.7588
130;ROSAL;16.9958
131;GUILMAN-AMORIM;2.7281
132;SÁ CARVALHO;1.8
133;CANDONGA;54.44
134;BAGUARI;35.41
135;AIMORÉS;184.628587
136;MASCARENHAS;24.43
137;SALTO GRANDE;78
138;PORTO ESTRELA;80.382432
139;SANTA CLARA - MG;146
140;IRAPÉ;3243.456341
141;ITAPEBI;1615.770455
142;PEDRA DO CAVALO;112.83315
143;RETIRO BAIXO;215.14711
144;QUEIMADO;243.10235
145;BOA ESPERANÇA;3709.1248
146;CANA BRAVA;2209.4444
147;SÃO SALVADOR;936.263681
148;PEIXE ANGICAL;2408.90723
149;DARDANELOS;0.12
150;RONDON II;352.053856
151;GUAPORÉ;22.328445
152;SAMUEL;1724.614344
153;BALBINA;12417.2473
154;SANTO ANTÔNIO JARI;124.934436
155;SINOP;2041.8
156;COLÍDER;1485.992
157;SÃO MANOEL;570.08
158;CURUÁ-UNA;277.86536
159;CACHOEIRA CALDEIRÃO;230.56
160;COARACY NUNES;138.754308
161;FERREIRA GOMES;137.303236
162;FONTES BC;37.2
</END>;;
