<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
0;PAMPA SUL;0;0;FALSE;FALSE;5336
1;CANDIOTA 3;0;0;FALSE;FALSE;2780
2;P. PECEM-unit1;291.93;1;FALSE;FALSE;192
3;P. PECEM-unit2;270.0;1;FALSE;FALSE;192
4;P.ITAQUI;280.0;1;FALSE;FALSE;384
5;PECEM 2;282.0;1;FALSE;FALSE;161
6;J.LACERDA-C-unit7;363.0;1;FALSE;FALSE;468
7;J.LACERDA-B-unit5;131.0;1;FALSE;FALSE;492
8;J.LACERDA-B-unit6;131.0;1;FALSE;FALSE;547
9;J.LACERDA-A1-unit1;50.0;1;FALSE;FALSE;192
10;J.LACERDA-A1-unit2;50.0;1;FALSE;FALSE;425
11;J.LACERDA-A2-unit3;66.0;1;FALSE;FALSE;646
12;J.LACERDA-A2-unit4;66.0;1;FALSE;FALSE;495
13;ARAUCARIA-unit1;0;0;FALSE;FALSE;4966
14;ARAUCARIA-unit2;0;0;FALSE;FALSE;4966
15;ARAUCARIA-unit3;0;0;FALSE;FALSE;4966
16;CUBATAO-unit1;161.0;1;FALSE;FALSE;86
17;CUBATAO-unit2;0;0;FALSE;FALSE;142
18;SEROPEDICA-unit1;0;0;FALSE;FALSE;481
19;SEROPEDICA-unit2;0;0;FALSE;FALSE;193
20;SEROPEDICA-unit3;0;0;FALSE;FALSE;358
21;SEROPEDICA-unit4;0;0;FALSE;FALSE;507
22;SEROPEDICA-unit5;0;0;FALSE;FALSE;474
23;SEROPEDICA-unit6;0;0;FALSE;FALSE;340
24;SEROPEDICA-unit7;0;0;FALSE;FALSE;83
25;SEROPEDICA-unit8;0;0;FALSE;FALSE;1
26;JARAQUI-unit6;36.1;1;FALSE;FALSE;1116
27;JARAQUI-unit7;26.899999999999995;1;FALSE;FALSE;1116
28;MANAUARA-unit1;16.7;1;FALSE;FALSE;1104
29;MANAUARA-unit2;16.7;1;FALSE;FALSE;1068
30;MANAUARA-unit3;16.7;1;FALSE;FALSE;859
31;MANAUARA-unit4;0;0;FALSE;FALSE;840
32;MANAUARA-unit5;14.899999999999999;1;FALSE;FALSE;850
33;N.FLU_DESSEM-unit1;177.7;1;FALSE;FALSE;12807
34;N.FLU_DESSEM-unit2;178.2;1;FALSE;FALSE;12807
35;N.FLU_DESSEM-unit3;179.8;1;FALSE;FALSE;12807
36;N.FLU_DESSEM-unit4;184.3000000000001;1;FALSE;FALSE;12807
37;P. NEGRA-unit1;16.0;1;FALSE;FALSE;9154
38;P. NEGRA-unit2;16.0;1;FALSE;FALSE;9154
39;P. NEGRA-unit3;16.0;1;FALSE;FALSE;9154
40;P. NEGRA-unit4;16.0;1;FALSE;FALSE;9154
41;TERMORIO-unit1;99.375;1;FALSE;FALSE;7270
42;TERMORIO-unit2;99.375;1;FALSE;FALSE;7270
43;TERMORIO-unit3;99.375;1;FALSE;FALSE;7270
44;TERMORIO-unit4;99.375;1;FALSE;FALSE;7270
45;TERMORIO-unit5;99.375;1;FALSE;FALSE;7270
46;TERMORIO-unit6;99.375;1;FALSE;FALSE;7270
47;TERMORIO-unit7;99.375;1;FALSE;FALSE;7270
48;TERMORIO-unit8;99.375;1;FALSE;FALSE;7270
49;T.LAGOAS-unit1;0;0;FALSE;FALSE;9216
50;T.LAGOAS-unit2;52.0;1;FALSE;FALSE;9216
51;T.LAGOAS-unit3;52.0;1;FALSE;FALSE;9216
52;T.LAGOAS-unit4;52.0;1;FALSE;FALSE;9216
53;T.LAGOAS-unit5;52.0;1;FALSE;FALSE;9216
54;T.LAGOAS-unit6;52.0;1;FALSE;FALSE;9216
55;MARANHAO 3-unit1;155.0;1;FALSE;FALSE;1391
56;MARANHAO 3-unit2;155.0;1;FALSE;FALSE;1391
57;MARANHAO 3-unit3;181.2;1;FALSE;FALSE;1391
58;TERMOPERNAMB-unit1;164.7;1;FALSE;FALSE;4475
59;TERMOPERNAMB-unit2;160.5;1;FALSE;FALSE;4475
60;TERMOPERNAMB-unit3;207.80000000000004;1;FALSE;FALSE;4475
61;B FLUMINENSE-unit1;150.0;1;FALSE;FALSE;384
62;B FLUMINENSE-unit2;150.0;1;FALSE;FALSE;384
63;B FLUMINENSE-unit3;220.00000000000003;1;FALSE;FALSE;384
64;MARANHAO 4-unit1;168.872;1;FALSE;FALSE;312
65;MARANHAO 4-unit2;0.0;0;FALSE;FALSE;3600
66;MARANHAO 5-unit1;168.872;1;FALSE;FALSE;396
67;MARANHAO 5-unit2;0.0;0;FALSE;FALSE;3600
68;FORTALEZA-unit1;0;0;FALSE;FALSE;6613
69;FORTALEZA-unit2;0;0;FALSE;FALSE;8041
70;FORTALEZA-unit3;0;0;FALSE;FALSE;5975
71;LINHARES-unit1;51.0;1;FALSE;FALSE;7153
72;LINHARES-unit2;34.0;1;FALSE;FALSE;3107
73;LINHARES-unit3;51.0;1;FALSE;FALSE;7153
74;LINHARES-unit4;51.0;1;FALSE;FALSE;3072
75;N VENECIA;110.00000000000001;1;FALSE;FALSE;48
76;J.DEFORA-unit1;38.9;1;FALSE;FALSE;111
77;J.DEFORA-unit2;43.1;1;FALSE;FALSE;111
78;RALMEIDA(L)-unit1;0;0;FALSE;FALSE;6494
79;RALMEIDA(L)-unit2;0;0;FALSE;FALSE;8500
80;RALMEIDA(L)-unit3;0;0;FALSE;FALSE;6863
81;RALMEIDA(L)-unit4;0;0;FALSE;FALSE;9216
82;IBIRITE-gas;150.0;1;FALSE;FALSE;45
83;IBIRITE-steam;0.0;0;FALSE;FALSE;3600
84;TERMOCEARA(L)-unit1;0;0;FALSE;FALSE;6552
85;TERMOCEARA(L)-unit2;0;0;FALSE;FALSE;5496
86;TERMOCEARA(L)-unit3;0;0;FALSE;FALSE;6528
87;TERMOCEARA(L)-unit4;0;0;FALSE;FALSE;6552
88;TERMOBAHIA;0;0;FALSE;FALSE;48
89;VALE DO ACU-unit1;110.00000000000001;1;FALSE;FALSE;311
90;VALE DO ACU-unit2;0;0;FALSE;FALSE;3029
91;URUGUAIANA-unit1;0;0;FALSE;FALSE;9548
92;URUGUAIANA-unit2;0;0;FALSE;FALSE;9548
93;URUGUAIANA-unit3;0;0;FALSE;FALSE;9548
94;M.COVAS-unit1;167.4;1;FALSE;FALSE;384
95;M.COVAS-unit2;167.4;1;FALSE;FALSE;384
96;M.COVAS-unit3;151.0;1;FALSE;FALSE;384
97;NPIRATININGA-unit1;0;0;FALSE;FALSE;12264
98;NPIRATININGA-unit2;0;0;FALSE;FALSE;12264
99;NPIRATININGA-unit3;0;0;FALSE;FALSE;12264
100;NPIRATININGA-unit4;0;0;FALSE;FALSE;11727
101;NPIRATININGA-unit5;0;0;FALSE;FALSE;11727
102;NPIRATININGA-unit6;0;0;FALSE;FALSE;8723
103;TERMOMACAE-unit1;0;0;FALSE;FALSE;6812
104;TERMOMACAE-unit2;0;0;FALSE;FALSE;9216
105;TERMOMACAE-unit3;0;0;FALSE;FALSE;5003
106;TERMOMACAE-unit4;0;0;FALSE;FALSE;9216
107;TERMOMACAE-unit5;0;0;FALSE;FALSE;9216
108;TERMOMACAE-unit6;0;0;FALSE;FALSE;9216
109;TERMOMACAE-unit7;0;0;FALSE;FALSE;9216
110;TERMOMACAE-unit8;0;0;FALSE;FALSE;9216
111;TERMOMACAE-unit9;0;0;FALSE;FALSE;9216
112;TERMOMACAE-unit10;0;0;FALSE;FALSE;9216
113;TERMOMACAE-unit11;0;0;FALSE;FALSE;9216
114;TERMOMACAE-unit12;0;0;FALSE;FALSE;6816
115;TERMOMACAE-unit13;0;0;FALSE;FALSE;9216
116;TERMOMACAE-unit14;0;0;FALSE;FALSE;6916
117;TERMOMACAE-unit15;0;0;FALSE;FALSE;9216
118;TERMOMACAE-unit16;0;0;FALSE;FALSE;9216
119;TERMOMACAE-unit17;0;0;FALSE;FALSE;9216
120;TERMOMACAE-unit18;0;0;FALSE;FALSE;9216
121;TERMOMACAE-unit19;0;0;FALSE;FALSE;6816
122;TERMOMACAE-unit20;0;0;FALSE;FALSE;9216
123;S.TIARAJU(L)-gas;0;0;FALSE;FALSE;4011
124;S.TIARAJU(L)-steam;0.0;0;FALSE;FALSE;3600
125;TNORTE 2-unit1;0;0;FALSE;FALSE;9216
126;TNORTE 2-unit2;0;0;FALSE;FALSE;9216
127;TNORTE 2-unit3;0;0;FALSE;FALSE;9216
128;TNORTE 2-unit4;0;0;FALSE;FALSE;9216
129;APAREC B1-unit1;43.0;1;FALSE;FALSE;147
130;APAREC B1-unit2;0;0;FALSE;FALSE;2377
131;APAREC B1-unit3;40.0;1;FALSE;FALSE;144
132;APAREC B1-unit4;30.0;1;FALSE;FALSE;149
133;SUZANO MA;0.0;0;FALSE;FALSE;3600
134;ANGRA 2;1215.0;1;FALSE;FALSE;1583
135;ANGRA 1;640.0;1;FALSE;FALSE;5331
136;CRIST.ROCHA-unit1;13.77;1;FALSE;FALSE;644
137;CRIST.ROCHA-unit2;17.08;1;FALSE;FALSE;551
138;CRIST.ROCHA-unit3;17.08;1;FALSE;FALSE;564
139;CRIST.ROCHA-unit4;17.08;1;FALSE;FALSE;658
140;CRIST.ROCHA-unit5;0;0;FALSE;FALSE;428
141;TAMBAQUI-unit1;0;0;FALSE;FALSE;2374
142;TAMBAQUI-unit2;38.0;1;FALSE;FALSE;7672
143;TAMBAQUI-unit3;25.0;1;FALSE;FALSE;2426
144;MARACANAU-unit1;0;0;FALSE;FALSE;249
145;MARACANAU-unit2;0;0;FALSE;FALSE;249
146;MARACANAU-unit3;0;0;FALSE;FALSE;250
147;MARACANAU-unit4;0;0;FALSE;FALSE;249
148;MARACANAU-unit5;0;0;FALSE;FALSE;249
149;MARACANAU-unit6;0;0;FALSE;FALSE;249
150;MARACANAU-unit7;0;0;FALSE;FALSE;247
151;MARACANAU-unit8;0;0;FALSE;FALSE;247
152;T.NORDESTE-unit1;0;0;FALSE;FALSE;624
153;T.NORDESTE-unit2;0;0;FALSE;FALSE;1441
154;T.NORDESTE-unit3;0;0;FALSE;FALSE;1440
155;T.PARAIBA-unit1;0;0;FALSE;FALSE;102
156;T.PARAIBA-unit2;0;0;FALSE;FALSE;5815
157;T.PARAIBA-unit3;0;0;FALSE;FALSE;100
158;GERAMAR I-unit1;0;0;FALSE;FALSE;9548
159;GERAMAR I-unit2;0;0;FALSE;FALSE;9548
160;GERAMAR I-unit3;0;0;FALSE;FALSE;9548
161;GERAMAR I-unit4;0;0;FALSE;FALSE;9548
162;GERAMAR I-unit5;0.0;0;FALSE;FALSE;3600
163;GERAMAR I-unit6;0.0;0;FALSE;FALSE;3600
164;GERAMAR I-unit7;0.0;0;FALSE;FALSE;3600
165;GERAMAR I-unit8;0.0;0;FALSE;FALSE;3600
166;GERAMAR I-unit9;0.0;0;FALSE;FALSE;3600
167;GERAMAR I-unit10;0.0;0;FALSE;FALSE;3600
168;GERAMAR I-unit11;0.0;0;FALSE;FALSE;3600
169;GERAMAR I-unit12;0.0;0;FALSE;FALSE;3600
170;GERAMAR I-unit13;0.0;0;FALSE;FALSE;3600
171;GERAMAR I-unit14;0.0;0;FALSE;FALSE;3600
172;GERAMAR I-unit15;0.0;0;FALSE;FALSE;3600
173;GERAMAR I-unit16;0.0;0;FALSE;FALSE;3600
174;GERAMAR I-unit17;0.0;0;FALSE;FALSE;3600
175;GERAMAR I-unit18;0.0;0;FALSE;FALSE;3600
176;GERAMAR I-unit19;0.0;0;FALSE;FALSE;3600
177;GERAMAR II-unit1;0;0;FALSE;FALSE;9548
178;GERAMAR II-unit2;0;0;FALSE;FALSE;9548
179;GERAMAR II-unit3;0;0;FALSE;FALSE;9548
180;GERAMAR II-unit4;0;0;FALSE;FALSE;9548
181;GERAMAR II-unit5;0.0;0;FALSE;FALSE;3600
182;GERAMAR II-unit6;0.0;0;FALSE;FALSE;3600
