<BEGIN>
ID;Name;New maximum reservoir volume (hm3);New minimum reservoir volume (hm3)
0;ITAIPU;29403.91;27695.19;
1;TUCURUI;50275.0;11293.0;
2;BELO MONTE;4802.3;3080.0;
3;JIRAU;2746.7;1249.83;
4;STO ANTONIO;2282.8;2077.3;
5;I. SOLTEIRA;21060.0;15563.0;
6;XINGO;3800.0;3738.0;
7;P.AFONSO 4;127.5;98.0;
8;ITUMBIARA;17027.0;4573.0;
9;TELES PIRES;897.22;897.22;
10;SAO SIMAO;12540.0;7000.0;
11;G.B. MUNHOZ;5779.0;1974.0;
12;JUPIA;3353.75;2450.0;
13;P. PRIMAVERA;16324.84;15707.0;
14;MARIMBONDO;6150.0;890.0;
15;ITAPARICA;10782.0;7234.0;
16;ITA;5099.78;4301.93;
17;SLT.SANTIAGO;6775.0;2662.0;
18;P.AFONSO 123;26.0;16.2;
19;A. VERMELHA;11025.0;5856.0;
20;FURNAS;22950.0;5733.0;
21;SERRA MESA;54400.0;11150.0;
22;SEGREDO;2950.0;2562.0;
23;SALTO CAXIAS;3572.76;3300.0;
24;EMBORCACAO;17725.0;4669.0;
25;MACHADINHO;3340.0;2283.0;
26;LC BARRETO;1423.15;1245.0;
27;ESTREITO TOC;5298.54;2907.66;
28;SALTO OSORIO;1123.67;721.0;
29;SOBRADINHO;34116.0;5447.0;
30;LAJEADO;5193.48;4711.11;
31;CAMPOS NOVOS;1477.0;1320.0;
32;TRES IRMAOS;13372.0;9923.0;
33;BARRA GRANDE;4904.45;2711.79;
34;CACH.DOURADA;522.68;300.81;
35;MOXOTO;1150.0;970.0;
36;TRES MARIAS;19528.0;4250.0;
37;PIMENTAL;2460.03;2276.29;
38;CHAVANTES;8795.0;5754.0;
39;ROSANA;1912.26;1504.7;
40;TAQUARUCU;676.83;538.7;
41;CAPIVARA;10540.0;4816.0;
42;FONTES;467.0;467.0;
43;NILO PEÇANHA;38.0;38.0;
44;PEREIRA PASSOS;17.0;13.0;
45;FUNIL;888.0;283.0;
46;LAJES;445.35;0.01;
47;PARAIBUNA;4732.0;2096.0;
48;SANTA BRANCA;439.0;131.0;
49;JAGUARI;1236.0;443.0;
50;SANTA CECÍLIA;6.0;4.0;
51;SANTANA;13.2;5.469;
52;VIGARIO;21.891;10.884;
53;PICADA;7.0;7.0;
54;SOBRAGI;0.087;0.063;
55;SIMPLÍCIO;126.5;126.5;
56;ILHA DOS POMBOS;8.0;3.0;
57;CORUMBÁ IV;3708.0;2936.6;
58;CORUMBÁ III;972.0;709.0;
59;CORUMBÁ I;1500.0;470.0;
60;BATALHA;1781.61;430.05;
61;SERRA DO FACÃO;5199.0;1752.0;
62;NOVA PONTE;12792.0;2412.0;
63;MIRANDA;1120.0;974.4;
64;AMADOR AGUIAR I;241.13;228.27;
65;AMADOR AGUIAR II;872.83;859.63;
66;ESPORA;216.5;98.65;
67;SALTO;1187.4;826.06;
68;SALTO DO RIO VERDINHO;394.3;352.5;
69;CAÇU;231.77;197.27;
70;BARRA DOS COQUEIROS;349.84;302.0;
71;FOZ DO RIO CLARO;95.33;95.33;
72;CAMARGOS;792.0;120.0;
73;ITUTINGA;11.21;4.17;
74;FUNIL - GRANDE;268.93;262.12;
75;MASCARENHAS DE MORAES;4040.0;1540.0;
76;JAGUARA;450.0;360.0;
77;IGARAPAVA;241.84;227.23;
78;VOLTA GRANDE;2244.0;1976.0;
79;PORTO COLÔMBIA;1524.5;1291.0;
80;CACONDE;554.87;50.78;
81;E. DA CUNHA;13.34;8.65;
82;A. S. OLIVEIRA;24.3;7.94;
83;SÃO DOMINGOS;131.3;112.31;
84;GUARAPIRANGA;189.96;0.77;
85;BILLINGS;1132.65;0.98;
86;PEDREIRA;1.0;0.1;
87;TRAIÇÃO;1.0;0.1;
88;EDGARD DE SOUZA;1.0;0.1;
