<BEGIN>;;;
ID;Name;New maximum reservoir volume (hm3);New minimum reservoir volume (hm3)
1;ITAIPU;29403.91;27695.19
2;TUCURUI;50275;11293
3;BELO MONTE;4802.3;3080
4;JIRAU;2746.7;1249.83
5;STO ANTONIO;2282.8;2077.3
6;I. SOLTEIRA;21060;15563
7;XINGO;3800;3738
8;P.AFONSO 4;127.5;98
9;ITUMBIARA;17027;4573
10;TELES PIRES;897.22;897.22
11;SAO SIMAO;12540;7000
12;G.B. MUNHOZ;5779;1974
13;JUPIA;3353.75;2450
14;P. PRIMAVERA;16324.84;15707
15;MARIMBONDO;6150;890
16;ITAPARICA;10782;7234
17;ITA;5099.78;4301.93
18;SLT.SANTIAGO;6775;2662
19;P.AFONSO 123;26;16.2
20;A. VERMELHA;11025;5856
21;FURNAS;22950;5733
22;SERRA MESA;54400;11150
23;SEGREDO;2950;2562
24;SALTO CAXIAS;3572.76;3300
25;EMBORCACAO;17725;4669
26;MACHADINHO;3340;2283
27;LC BARRETO;1423.15;1245
28;ESTREITO TOC;5298.54;2907.66
29;SALTO OSORIO;1123.67;721
30;SOBRADINHO;34116;5447
31;LAJEADO;5193.48;4711.11
32;CAMPOS NOVOS;1477;1320
33;TRES IRMAOS;13372;9923
34;BARRA GRANDE;4904.45;2711.79
35;CACH.DOURADA;522.68;300.81
36;MOXOTO;1150;970
37;TRES MARIAS;19528;4250
38;PIMENTAL;2460.03;2276.29
39;CHAVANTES;8795;5754
40;ROSANA;1912.26;1504.7
41;TAQUARUCU;676.83;538.7
42;CAPIVARA;10540;4816
43;FONTES;467;467
44;NILO PEÇANHA;38;38
45;PEREIRA PASSOS;17;13
46;FUNIL;888;283
47;LAJES;445.35;0.01
48;PARAIBUNA;4732;2096
49;SANTA BRANCA;439;131
50;JAGUARI;1236;443
51;SANTA CECÍLIA;6;4
52;SANTANA;13.2;5.469
53;VIGARIO;21.891;10.884
54;PICADA;7;7
55;SOBRAGI;0.087;0.063
56;SIMPLÍCIO;126.5;126.5
57;ILHA DOS POMBOS;8;3
58;CORUMBÁ IV;3708;2936.6
59;CORUMBÁ III;972;709
60;CORUMBÁ I;1500;470
61;BATALHA;1781.61;430.05
62;SERRA DO FACÃO;5199;1752
63;NOVA PONTE;12792;2412
64;MIRANDA;1120;974.4
65;AMADOR AGUIAR I;241.13;228.27
66;AMADOR AGUIAR II;872.83;859.63
67;ESPORA;216.5;98.65
68;SALTO;1187.4;826.06
69;SALTO DO RIO VERDINHO;394.3;352.5
70;CAÇU;231.77;197.27
71;BARRA DOS COQUEIROS;349.84;302
72;FOZ DO RIO CLARO;95.33;95.33
73;CAMARGOS;792;120
