<BEGIN>
ID;Name;Initial reservoir volume (hm3)
0;ITAIPU;28447.539416;
1;TUCURUI;23182.510000000002;
2;BELO MONTE;2049.8904700000003;
3;JIRAU;2746.7;
4;STO ANTONIO;2077.3;
5;I. SOLTEIRA;18786.4408;
6;XINGO;3772.5588;
7;P.AFONSO 4;118.38155;
8;ITUMBIARA;6883.217000000001;
9;TELES PIRES;897.22;
10;SAO SIMAO;8150.104;
11;G.B. MUNHOZ;5082.685;
12;JUPIA;3168.210125;
13;P. PRIMAVERA;15744.441104;
14;MARIMBONDO;2006.698;
15;ITAPARICA;8823.8588;
16;ITA;4877.02028;
17;SLT.SANTIAGO;5687.522800000001;
18;P.AFONSO 123;25.790280000000003;
19;A. VERMELHA;6840.6945;
20;FURNAS;10498.6656;
21;SERRA MESA;20872.6;
22;SEGREDO;2876.1636;
23;SALTO CAXIAS;3442.162512;
24;EMBORCACAO;6351.9184000000005;
25;MACHADINHO;3006.0937;
26;LC BARRETO;1363.46975;
27;ESTREITO TOC;4210.211424;
28;SALTO OSORIO;1096.811911;
29;SOBRADINHO;20724.710100000004;
30;LAJEADO;4751.870265;
31;CAMPOS NOVOS;1477.0;
32;TRES IRMAOS;12057.931;
33;BARRA GRANDE;4204.772194;
34;CACH.DOURADA;425.54531399999996;
35;MOXOTO;1110.148;
36;TRES MARIAS;13086.7952;
37;PIMENTAL;2459.864634;
38;CHAVANTES;6211.6705;
39;ROSANA;1821.129584;
40;TAQUARUCU;660.9588630000001;
41;CAPIVARA;7065.531999999999;
42;FONTES;467.0;
43;NILO PEÇANHA;38.0;
44;PEREIRA PASSOS;15.4;
45;FUNIL;650.6585;
46;LAJES;267.214;
47;PARAIBUNA;3122.4584;
48;SANTA BRANCA;255.0932;
49;JAGUARI;858.9285;
50;SANTA CECÍLIA;6.0;
51;SANTANA;10.1076;
52;VIGARIO;17.4882;
53;PICADA;7.0;
54;SOBRAGI;0.087;
55;SIMPLÍCIO;126.5;
56;ILHA DOS POMBOS;7.29;
57;CORUMBÁ IV;3191.70198;
58;CORUMBÁ III;801.576;
59;CORUMBÁ I;951.319;
60;BATALHA;835.923468;
61;SERRA DO FACÃO;2258.3643;
62;NOVA PONTE;3749.982;
63;MIRANDA;1064.58464;
64;AMADOR AGUIAR I;234.216464;
65;AMADOR AGUIAR II;868.08196;
66;ESPORA;127.33469000000001;
67;SALTO;1180.3538700000001;
68;SALTO DO RIO VERDINHO;388.12196;
69;CAÇU;227.41955000000002;
70;BARRA DOS COQUEIROS;336.951904;
71;FOZ DO RIO CLARO;95.33;
72;CAMARGOS;515.7408;
73;ITUTINGA;7.618896;
74;FUNIL - GRANDE;268.127101;
75;MASCARENHAS DE MORAES;2272.75;
76;JAGUARA;416.286;
77;IGARAPAVA;230.740783;
78;VOLTA GRANDE;2096.1444;
79;PORTO COLÔMBIA;1388.48625;
80;CACONDE;242.43501800000004;
81;E. DA CUNHA;13.34;
82;A. S. OLIVEIRA;22.595288;
83;SÃO DOMINGOS;121.88096;
84;GUARAPIRANGA;114.28399999999999;
85;BILLINGS;679.9820000000001;
86;PEDREIRA;0.64;
87;TRAIÇÃO;0.64;
88;EDGARD DE SOUZA;0.64;
89;BARRA BONITA;2086.2758000000003;
90;BARIRI;516.995362;
91;IBITINGA;956.66625;
92;PROMISSÃO;6265.1526300000005;
93;N.AVANHANDAVA;2672.631;
94;HENRY BORDEN;1.0;
95;JURUMIRIM;4661.270732;
96;PIRAJU;114.031872;
97;OURINHOS;22.34;
