<BEGIN>;Coefficients ($/hm3) and RHS ($) -- alpha + coef*v...>= RHS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cut (j);CAMARGOS;ITUTINGA;FUNIL-GRANDE;FURNAS;M. DE MORAES;ESTREITO;JAGUARA;IGARAPAVA;VOLTA GRANDE;P. COLOMBIA;CACONDE;E. DA CUNHA;A.S.OLIVEIRA;MARIMBONDO;A. VERMELHA;BATALHA;SERRA FACAO;EMBORCACAO;NOVA PONTE;MIRANDA;CAPIM BRANC1;CAPIM BRANC2;CORUMBA IV;CORUMBA I;ITUMBIARA;CACH.DOURADA;SAO SIMAO;I. SOLTEIRA;BARRA BONITA;A.S. LIMA;IBITINGA;PROMISSAO;NAVANHANDAVA;TRES IRMAOS;JUPIA;P. PRIMAVERA;A.A. LAYDNER;PIRAJU;CHAVANTES;L.N. GARCEZ;CANOAS II;CANOAS I;MAUA;CAPIVARA;TAQUARUCU;ROSANA;ITAIPU;STA CLARA PR;FUNDAO;JORDAO;G.B. MUNHOZ;SEGREDO;SLT.SANTIAGO;SALTO OSORIO;SALTO CAXIAS;BAIXO IGUACU;BARRA GRANDE;GARIBALDI;CAMPOS NOVOS;MACHADINHO;ITA;PASSO FUNDO;MONJOLINHO;QUEBRA QUEIX;CASTRO ALVES;MONTE CLARO;14 DE JULHO;SAO JOSE;PASSO S JOAO;FOZ CHAPECO;EDGARD SOUZA;TRAICAO;PEDREIRA;ERNESTINA;PASSO REAL;JACUI;ITAUBA;D. FRANCISCA;G.P. SOUZA;GUARAPIRANGA;BILLINGS;HENRY BORDEN;JAGUARI;PARAIBUNA;SANTA BRANCA;FUNIL;LAJES;STA CECILIA;PICADA;SOBRAGI;SIMPLICIO;ILHA POMBOS;NILO PECANHA;P. PASSOS;SALTO GRANDE;P. ESTRELA;CANDONGA;BAGUARI;AIMORES;MASCARENHAS;IRAPE;SAO DOMINGOS;ITAPEBI;RETIRO BAIXO;TRES MARIAS;QUEIMADO;SOBRADINHO;ITAPARICA;MOXOTO;P.AFONSO 123;P.AFONSO 4;XINGO;TOCOS;SANTANA;VIGARIO;FONTES A;FONTES BC;P. CAVALO;B. ESPERANCA;GUILMAN-AMOR;SA CARVALHO;JAURU;GUAPORE;CORUMBA III;CACH.CALDEIR;SALTO PILAO;ROSAL;SINOP;COLIDER;TELES PIRES;SAO MANOEL;SLT VERDINHO;OURINHOS;SERRA MESA;CANA BRAVA;SAO SALVADOR;PEIXE ANGIC;LAJEADO;SALTO;ESTREITO TOC;CURUA-UNA;TUCURUI;RONDON II;BALBINA;MANSO;SAMUEL;COARACY NUNE;PONTE PEDRA;STA CLARA MG;FERREIRA GOM;JIRAU;STO ANT JARI;STO ANTONIO;BELO MONTE;ESPORA;ITIQUIRA I;ITIQUIRA II;DARDANELOS;CACU;B. COQUEIROS;PIMENTAL;FOZ R. CLARO;RHS ($);;
1;192733.9995;185083.1442;173648.58;159470.1639;136102.7296;124305.8106;106131.7529;98605.4562;93859.4382;86504.70891;163833.068;112147.8266;89007.20158;83322.21902;67770.53396;205280.9353;168277.6315;146883.8704;184810.6647;156508.5518;134637.5517;114943.769;170524.4397;131713.8786;102348.4663;80021.13545;72465.57133;54021.24618;88039.88915;82287.35043;76662.48162;72067.4527;62715.3868;53897.99469;40145.48216;34879.03306;205102.0234;123515.3793;116010.9628;77723.92423;72855.83223;68542.79951;192825.4071;64333.05645;51732.30135;35989.35824;33540.09267;433967.5346;0;236012.9989;293562.9508;237612.444;199131.3955;169161.4719;19589.83468;-27.45284963;1378334.421;1389533.259;1376365.864;1326380.13;428306.3582;244862.0701;34927.46179;51536.10298;45176.45499;20607.78914;9663.580687;13966.87499;8178.039599;15574.22068;86877.47159;110540.0267;119730.9937;68038.81567;68706.26107;55439.36012;37411.65141;9918.280647;351213.4467;146688.9763;127909.9584;197435.1454;54349.26249;63411.95945;41757.77625;26669.77376;28532.91675;0;44858.09661;18925.45873;7070.902874;6763.283976;31200.40918;9963.971559;0;32951.61019;17955.5077;0;0;0;92655.41818;41635.75177;33839.01637;1266874.863;1256616.283;1313874.097;1216467.509;1205513.78;1193619.981;1187137.074;1193619.981;1158915.313;28764.19642;15778.92469;31172.95633;36336.11473;31172.95633;172042.5374;11999.61245;64373.42286;37709.53451;29780.43536;48908.69583;142660.291;5478.993185;46870.58938;3912.000385;8713.833902;993.6035202;1021.05637;-1284.251757;61284.60031;0;129587.7954;45642.59142;32808.26348;27026.61584;18739.74095;74011.94202;11188.05943;181.2200542;9768.748584;12534.51804;4874.31954;16900.31956;6377.670365;2745.047994;456.3519175;0;2781.61619;-2181.390906;3892.291124;-1133.532974;18759.33273;59558.19846;24755.91198;13481.7347;-285.6819366;75987.24724;66328.68642;18758.20501;58274.63805;1.94E+11;;
2;166545.1715;159651.7211;149889.2312;137696.6057;117537.2134;106874.8334;91234.69716;84647.9068;80523.43416;73936.59979;140697.2456;95909.53698;76060.41135;71213.53201;58091.60149;182668.9643;147057.7503;129540.1584;160983.9955;133204.1852;116639.2427;99579.01818;149524.6047;113315.077;88559.6358;69176.6202;62808.87608;46428.3748;74790.50346;69728.3775;64939.2377;61015.21404;53610.14071;46287.37918;34481.95575;29308.27441;179914.57;110035.6348;103469.9557;71151.49821;66935.895;63253.71251;120826.2938;59534.57074;48271.14906;29985.93626;27414.3867;299894.1397;0;164233.5571;203291.2187;165961.9477;134627.4623;108749.3327;16739.79668;-27.45284963;677846.8983;707295.8;674597.6963;626605.8568;63358.9323;209368.4824;29753.60179;30123.67563;38603.671;17619.1096;8255.389172;11835.3322;6939.777895;13200.53122;73783.36815;93929.42249;101726.464;296394.5102;56623.97884;45730.90822;31797.20616;8286.622698;277044.2933;123339.0271;108747.5916;169516.439;47233.0919;55184.06738;36625.23647;23000.61143;27705.38195;0;39873.9066;16667.97846;6159.836032;5802.707057;26966.35308;8532.007488;0;28494.26835;15557.9478;0;0;0;83130.53458;35084.32222;31046.61421;1243901.411;1234924.678;1295011.749;1207980.937;1196887.336;1187135.328;1181599.562;1187135.328;1157339.742;27993.15535;13747.41702;26938.90023;33325.09391;26938.90023;136771.7889;10246.34391;55056.4307;32223.90283;25619.66689;41952.3645;122857.2315;4667.40917;40191.51218;3734.193712;9923.257695;2020.272855;2047.725704;-900.9139165;52336.51026;0;120793.8193;39738.23028;28738.63041;24148.6816;16645.61515;63228.91431;9612.659934;549.2835477;8396.877872;10587.44752;4255.37538;14704.59667;5884.660181;2326.863893;415.5606625;0;2362.043446;-1879.937651;3291.528652;-976.7336449;16045.02429;52145.85857;20599.10943;11323.24058;-249.0750519;65542.14928;57084.81719;16043.97398;50105.66338;1.83E+11;;
3;167212.8595;160298.3339;150708.9643;138547.9918;118410.1131;107655.8058;91917.40027;85140.99874;81001.86226;74404.60543;141253.5764;96473.50997;76484.20604;71629.54954;58461.0743;182402.3398;148032.5265;130182.6983;161753.7302;134490.8493;117168.4297;100078.5416;148569.375;113555.9252;88969.36287;69589.31367;63191.22414;46813.44926;75496.63331;70473.84511;65671.27913;61786.41429;54025.86632;46628.366;34788.18406;29925.93357;178226.4276;110647.1541;104042.0201;71561.22961;67316.14684;63613.26185;118960.5944;59927.82574;48718.49886;30645.38587;28227.39465;307916.0893;0;166337.7797;205456.161;168071.9186;136632.2356;110599.2262;16848.49625;-27.45284963;682629.9165;710728.5397;678865.8;630273.589;68161.74245;209053.7468;29942.77131;41400.56571;38814.30023;17710.64213;8297.645363;11928.88479;6994.828794;13283.40817;74451.02754;94167.3548;102373.6568;56807.43709;57366.72829;46708.74136;32045.19844;8388.385266;286292.0834;122518.9388;109436.2895;170294.3405;47481.40264;55513.01261;36906.45927;23091.5671;15395.60196;0;39880.852;16685.13556;6144.663805;5768.252174;14526.62101;-4015.653988;0;28737.11692;15680.03355;0;0;0;84078.68039;35710.4378;31292.94636;1248231.617;1239211.832;1299049.244;1211828.762;1201786.49;1191976.971;1186404.938;1191976.971;1162017.135;15999.04267;1223.143892;14499.16816;19457.23649;14499.16816;140897.9345;10368.67623;55481.11431;32542.09986;25687.46219;42189.32622;123101.1387;4723.6813;40380.58774;3775.645103;9982.164416;2060.175516;2087.628365;-890.1957838;52723.94788;0;121255.8668;40025.51272;28960.53831;24345.69554;16815.26091;63653.0328;9728.154595;573.3199945;8514.299964;10692.54724;4277.664386;14747.45774;5827.420759;2356.473613;397.9211932;0;2391.751489;-1890.098466;3318.408499;-982.0187394;16247.84227;52465.88085;20429.87706;11152.45521;-250.3089274;65874.81727;57405.43143;16246.78625;50445.60228;1.84E+11;;
4;166182.7568;159273.3457;149758.1596;137598.4798;117472.8104;106821.2333;91154.54559;84799.90889;80682.32796;74111.08124;141016.4663;96118.84795;76223.73606;71374.43433;58218.79336;183148.3973;147609.3803;129905.9716;161660.8583;134160.4508;116779.6927;99847.66688;148811.7039;113500.2788;88780.53564;69432.94824;63018.6067;46542.52008;75303.49314;70294.21378;65504.95595;61593.37546;53785.37622;46408.84627;34568.37997;29560.74544;177601.9517;110113.6933;103529.0783;71512.97544;67287.31526;63597.3524;119829.1147;59898.09527;48639.26368;30238.61223;27703.62953;304544.1856;0;164914.3368;203929.1749;166646.6129;135080.6621;109126.2768;16785.29767;-27.45284963;679666.8116;708804.2636;675612.5991;627218.4837;66562.1358;208111.4183;29831.96071;30139.62784;38732.49407;17678.03952;8281.705913;11881.01689;6967.656355;13235.18744;74259.58725;94076.92518;101926.2638;188219.1691;57111.47529;46482.04358;31919.77557;8342.650045;281045.323;121774.3253;108967.8489;169671.629;47393.20755;55372.26513;36750.80299;23040.49867;27514.07661;0;39857.22008;16655.36307;6148.626423;5780.30356;27038.32264;8549.027616;0;28685.33975;15645.11326;0;0;0;84532.56739;35339.32192;31606.35365;1249208.377;1240190.521;1299931.804;1213137.179;1203074.854;1193311.711;1187760.852;1193311.711;1163443.22;27917.3794;13784.08925;27010.86979;33312.23765;27010.86979;143308.6178;10431.50901;55446.55267;32524.32883;25619.07175;42036.69292;123075.5244;4727.301861;40349.45283;3742.951444;9971.67971;2071.14007;2098.59292;-887.4702752;52479.22556;0;121347.105;40044.77088;29019.35787;24416.95061;16915.901;63368.74741;9789.874406;565.2689753;8551.971865;10534.88996;4255.764587;14721.67062;5801.293604;2357.919763;412.4471616;0;2393.202441;-1883.520683;3300.627655;-978.5973401;16180.44307;52395.69009;20492.20261;11248.58521;-249.5101563;65646.2274;57181.42093;16179.38149;50210.47632;1.83E+11;;
5;166757.5131;159823.9358;150294.699;138110.607;117888.1508;107183.2204;91437.93772;85125.11311;80986.42405;74413.42742;141686.3729;96570.91138;76561.46191;71679.84742;58450.35701;183824.0871;148063.0317;130286.4499;162225.6985;134681.1864;117220.7419;100179.8592;148787.1397;113785.0214;89054.35241;69733.99395;63279.64967;46708.65901;75592.49271;70561.63011;65748.64719;61846.17548;53992.94296;46574.3358;34675.52356;29643.46742;178256.9985;110536.3448;103917.9497;71777.84944;67529.88947;63820.62356;120022.5845;60102.28052;48793.7145;30321.07855;27770.7984;304870.1135;0;165177.7596;204390.802;166934.8181;135304.4578;109223.4173;16867.06207;-27.45284963;679976.8865;709172.8618;675701.0765;627064.1262;66881.58286;208440.4187;29979.30945;30302.74432;38789.6673;17702.76555;8294.034606;11945.37935;7005.356565;13300.62103;74541.59745;94136.67938;102400.4626;56802.64582;57366.68033;46742.32411;32080.81367;8385.225675;281489.806;122190.7848;109477.5945;170503.5929;47585.5176;55593.06215;36898.88831;23126.39474;27567.3948;0;39871.87654;16662.11757;6150.488126;5782.949297;27137.9789;8592.733312;0;28837.86292;15732.85043;0;0;0;85035.30487;35459.17422;31881.65514;1249482.226;1240409.41;1300291.895;1213340.105;1203245.329;1193417.82;1187839.078;1193417.82;1163399.692;28001.99359;13818.91883;27110.52605;33411.69199;27110.52605;146889.9506;10509.61631;55829.78689;32756.93106;25737.97681;42248.48627;123415.2828;4739.113304;40404.50867;3767.718573;10009.16785;2069.284833;2096.737682;-892.9081515;52690.45587;0;121635.1684;40284.75541;29203.20751;24576.85677;17035.37592;63642.77721;9861.23354;576.8635304;8612.784761;10565.12484;4273.363065;14747.8507;5815.356083;2363.64405;418.2643023;0;2398.945736;-1892.721489;3331.245326;-983.3830913;16300.45722;52616.09194;20599.64129;11252.78382;-250.6274535;65848.81032;57366.88138;16299.39539;50383.35458;1.83E+11;;
6;167119.1868;160183.129;150614.5868;138448.5588;118314.8916;107577.8178;91824.2183;85289.57468;81146.28834;74554.24061;141728.9015;96697.98208;76681.66792;71801.2748;58593.94593;183802.7431;148204.9172;130404.2989;162273.3954;134308.6483;117344.0624;100246.7723;148840.125;113855.8914;89123.90711;69774.28538;63334.68194;46865.18535;75684.77376;70658.68705;65846.29083;61944.84891;54133.43924;46726.74571;34826.26105;29808.61289;178088.2396;110538.5125;103921.3005;71818.56325;67568.98759;63858.80614;119781.3764;60145.03607;48857.76705;30488.70061;28016.70378;303716.6494;0;164829.6086;204065.7601;166586.4479;135082.862;108995.6655;16871.24449;-27.45284963;679093.6801;708034.6922;675020.1566;626408.6257;66953.99419;208663.3128;29984.49032;30311.26799;38800.36506;17705.03418;8294.096325;11948.68723;7006.899378;13302.07102;74631.71825;94054.56084;102385.3115;132502.2415;57321.12401;46683.85385;32092.29605;8399.927211;283159.3065;122168.5025;109464.1439;170529.6197;47622.36335;55616.77469;36956.07405;23137.30659;28262.3465;0;39912.22786;16687.0274;6155.818718;5780.14113;27164.3419;8594.408209;0;28840.65113;15740.38393;0;0;0;84967.85276;35621.79553;31846.48675;1249180.422;1240102.343;1300064.712;1212931.597;1202841.351;1193013.55;1187433.659;1193013.55;1162997.299;28705.13597;13842.6093;27136.88906;34077.01516;27136.88906;146443.4994;10479.79634;55836.11815;32770.3584;25739.72946;42256.48607;123414.2994;4736.226911;40455.80952;3763.684189;10013.17649;2074.032761;2101.48561;-892.8217098;52837.7518;0;121635.9162;40267.0636;29184.92683;24554.43478;17008.3646;63794.29139;9833.833523;579.706551;8590.959962;10591.92033;4275.786402;14753.29635;5825.963715;2362.411084;412.7070559;0;2397.708676;-1893.074084;3328.337043;-983.5664917;16293.09745;52686.19084;20557.996;11214.37616;-250.6702707;66004.60218;57515.19105;16292.03448;50530.79462;1.84E+11;;
7;167245.4021;160305.4691;150734.5278;138562.5996;118411.1896;107665.4798;91899.89704;85362.01433;81216.88576;74618.68441;141850.4938;96776.63448;76746.82679;71862.26475;58643.18106;183934.5028;148299.7941;130488.4886;162396.9496;134419.4529;117406.756;100324.7125;148945.8616;113939.1152;89196.01966;69834.44226;63389.22108;46904.33776;75749.81355;70720.88726;65904.21354;62001.12548;54179.6936;46765.39655;34855.59026;29833.99639;178240.7115;110616.7086;103994.6894;71839.78524;67587.46551;63874.31293;119850.6185;60156.76108;48860.6458;30515.29953;28037.13075;303917.6938;0;164952.3692;204208.251;166705.4645;135180.4634;109072.0194;16884.95797;-27.45284963;679087.3997;708131.349;675018.072;626370.3167;66986.92853;208678.0178;30008.31731;30336.23219;38833.26844;17719.61274;8301.055619;11958.84092;7012.859741;13312.44858;74695.4586;94154.98564;102492.703;62606.04326;57380.68597;46747.35152;32119.11428;8408.730205;283236.8826;122267.2181;109577.2948;170665.6416;47659.09;55659.87137;36987.29623;23157.64051;28269.42222;0;39940.46372;16697.98202;6163.749792;5784.349157;27187.72665;8601.510151;0;28864.71804;15754.72162;0;0;0;85023.81871;35651.63238;31864.63021;1249415.284;1240329.669;1300308.686;1213157.683;1203062.541;1193224.953;1187640.503;1193224.953;1163186.132;28722.2208;13855.39521;27160.2738;34101.17094;27160.2738;146650.11;10490.4261;55897.28202;32807.47248;25753.89395;42291.85542;123504.703;4740.524464;40481.86425;3777.060545;10019.97194;2074.561439;2102.014289;-893.6918434;52881.05455;0;121684.3053;40298.24289;29207.33411;24573.33068;17020.69955;63848.09302;9842.082936;580.2328498;8598.471665;10602.4298;4278.951996;14764.25822;5829.012569;2364.479516;418.5216892;0;2399.783977;-1894.569166;3331.522782;-984.3441506;16307.44202;52733.91844;20566.85274;11218.26909;-250.8518255;66063.25348;57565.24931;16306.37896;50573.85849;1.84E+11;;
8;167214.0034;160271.1744;150706.939;138541.3537;118398.6115;107663.2976;91895.54245;85378.81298;81233.81279;74635.8102;141891.7396;96793.1799;76761.57472;71881.02005;58680.81418;184006.3233;148311.6963;130501.2136;162431.3668;134435.9479;117431.8628;100342.6618;148969.0716;113957.9403;89211.423;69856.51065;63420.46245;46942.27941;75775.3067;70750.59414;65935.03345;62034.99234;54197.97683;46787.92934;34892.68006;29886.15066;178316.0817;110642.0536;104021.3521;71850.52686;67597.40875;63884.24543;119848.9128;60171.19834;48891.88564;30575.05048;28111.1088;304086.5353;0;164956.0445;204219.2568;166696.157;135187.4366;109080.0258;16890.91759;-27.45284963;679264.5172;708359.5879;675085.1373;626436.5158;66848.7745;208674.6825;30017.13818;42410.82682;38842.94512;17725.12152;8304.093291;11960.47182;7013.822905;13315.60617;74719.57795;94628.79157;102532.428;56833.56351;57399.00006;46771.78668;32121.81719;8411.975264;282853.0148;122267.4944;109617.2301;170725.4661;47668.82602;55672.01707;36997.9809;23161.94664;14881.5997;0;39937.43558;16696.89786;6167.494832;5784.992006;14597.91024;-3994.044619;0;28870.37068;15754.22831;0;0;0;85065.52548;35708.63952;31894.40529;1249497.331;1240413.189;1300394.912;1213251.831;1203149.406;1193311.037;1187724.546;1193311.037;1163272.461;15578.91426;1260.832195;14570.45739;19460.30357;14570.45739;146775.1169;10490.53978;55881.30358;32797.04159;25753.17765;42293.79275;123520.2882;4739.357596;40479.5933;3778.812524;10025.43457;2078.995153;2106.448002;-893.9868823;52919.08666;0;121700.5744;40305.89144;29213.34295;24579.29625;17027.80844;63886.66236;9846.867043;579.7960251;8601.497679;10603.91888;4279.618215;14766.32524;5828.226852;2363.970688;418.2449454;0;2399.273459;-1894.635455;3329.791956;-984.3786304;16304.28452;52757.84672;20585.93802;11231.41815;-250.8598753;66106.21356;57604.54925;16303.22096;50612.11432;1.83E+11;;
9;167098.0743;160161.1699;150601.287;138423.7303;118258.6853;107543.4695;91786.71818;85298.68938;81157.11415;74563.31679;141780.2677;96710.67565;76694.90124;71811.85301;58602.91808;183883.748;148216.1651;130415.7241;162315.6647;134576.5299;117342.7945;100274.6951;148870.3316;113875.3297;89137.86948;69786.82555;63345.78974;46869.81303;75704.04973;70677.3627;65865.66309;61966.33771;54143.9189;46733.39084;34827.38142;29797.77122;178197.9809;110573.8587;103954.5964;71802.8052;67553.64122;63843.04407;119837.3669;60126.26765;48832.45924;30477.96595;27996.39645;304073.8306;0;164944.5706;204183.3011;166690.884;135205.5303;109116.8085;16877.1141;-27.45284963;679153.2505;708222.6898;674972.8781;626341.7917;66966.52485;208586.245;29994.84517;33090.65438;38811.2828;17711.15491;8297.061076;11951.4561;7008.786867;13306.67766;74650.34191;94482.62601;102444.789;56797.6234;57363.04292;46737.33095;32096.92841;8398.498289;282935.9956;122176.1484;109525.691;170589.3514;47632.19388;55632.59831;36969.01961;23145.30526;28142.23335;0;39924.30045;16691.53449;6162.996993;5780.241527;27175.87205;8597.250384;0;28854.31411;15746.24776;0;0;0;85018.66477;35614.23935;31856.76738;1249447.438;1240365.916;1300323.014;1213208.639;1203118.366;1193287.511;1187705.63;1193287.511;1163264.53;28595.5499;13849.51197;27148.4192;33978.92162;27148.4192;146815.322;10486.84949;55873.87773;32790.92568;25740.95318;42271.15464;123429.3339;4740.186808;40446.22355;3777.007984;10015.16608;2073.32599;2100.77884;-894.4944255;52840.5445;0;121651.5429;40284.54276;29199.395;24567.70756;17019.9755;63799.79176;9844.1441;580.3207466;8598.921446;10592.45861;4277.042932;14756.72268;5824.197104;2364.26469;419.0441089;0;2399.568438;-1893.672411;3331.468074;-983.8777084;16307.22103;52706.29502;20566.73892;11223.61555;-250.7429284;66013.56081;57521.65423;16306.15797;50535.84291;1.83E+11;;
10;167101.4616;160165.875;150598.9072;138417.184;118210.7461;107486.1735;91733.33006;85270.84849;81129.29608;74545.94411;141765.3353;96705.29284;76688.90536;71805.11306;58592.30637;183872.9136;148206.1193;130405.4783;162301.3272;134800.4399;117330.9568;100270.6768;148854.575;113865.7997;89129.59175;69777.59009;63336.97313;46857.99462;75695.48466;70668.4687;65856.83531;61958.02915;54135.70122;46723.13132;34815.76573;29781.37845;178189.079;110565.4127;103945.308;71798.10934;67548.62975;63837.92004;119828.7752;60119.7043;48821.17669;30461.42351;27976.43825;304035.3088;0;164947.0429;204183.5737;166689.4216;135207.365;109118.3583;16877.8718;-27.45284963;679267.6884;708341.9617;675096.2056;626461.072;66973.53452;208602.2452;29996.1666;36703.55059;38812.03793;17711.76252;8297.48369;11952.05101;7009.55937;13307.2144;74641.80276;94170.01697;102438.009;56795.39469;57360.87788;46737.01113;32099.19342;8398.790551;282937.1227;122181.7152;109518.6701;170598.792;47630.19799;55630.03036;36967.10141;23145.4129;14919.62652;0;39916.13855;16688.58901;6162.791375;5779.651791;14575.26229;-3999.176775;0;28852.92217;15745.75173;0;0;0;85010.23498;35595.82426;31846.88279;1249430.133;1240349.976;1300302.601;1213193.646;1203104.271;1193272.767;1187690.569;1193272.767;1163247.726;15612.29159;1248.166004;14547.80944;19439.73673;14547.80944;146747.7928;10485.88388;55880.95991;32793.79584;25740.49471;42270.23284;123477.5162;4739.824255;40445.13077;3777.325295;10011.89429;2069.881033;2097.333883;-895.7095306;52829.42571;0;121641.0327;40282.99987;29197.53975;24565.99134;17018.5374;63788.38699;9843.245022;580.1379022;8597.960333;10592.13943;4276.848446;14756.64835;5823.862339;2364.081302;419.0460315;0;2399.384441;-1893.633669;3332.554504;-983.8575565;16307.17067;52697.36915;20566.93023;11225.90581;-250.7382237;66001.70989;57510.46739;16306.10761;50525.03449;1.84E+11;;
