<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
0;PAMPA SUL;0;0;FALSE;FALSE;1379
1;CANDIOTA 3;262.5;1;FALSE;FALSE;1296
2;P. PECEM-unit1;0;0;FALSE;FALSE;330
3;P. PECEM-unit2;0;0;FALSE;FALSE;187
4;P.ITAQUI;0;0;FALSE;FALSE;321
5;PECEM 2;0;0;FALSE;FALSE;646
6;J.LACERDA-C-unit7;310.0;1;FALSE;FALSE;96
7;J.LACERDA-B-unit5;131.0;1;FALSE;FALSE;408
8;J.LACERDA-B-unit6;89.0;1;FALSE;FALSE;441
9;J.LACERDA-A1-unit1;35.0;1;FALSE;FALSE;93
10;J.LACERDA-A1-unit2;0;0;FALSE;FALSE;150
11;J.LACERDA-A2-unit3;66.0;1;FALSE;FALSE;96
12;J.LACERDA-A2-unit4;44.0;1;FALSE;FALSE;24
13;ARAUCARIA-unit1;0;0;FALSE;FALSE;4220
14;ARAUCARIA-unit2;0;0;FALSE;FALSE;4220
15;ARAUCARIA-unit3;0;0;FALSE;FALSE;4220
16;CUBATAO-unit1;0;0;FALSE;FALSE;1320
17;CUBATAO-unit2;45.0;1;FALSE;FALSE;24
18;SEROPEDICA-unit1;0;0;FALSE;FALSE;528
19;SEROPEDICA-unit2;0;0;FALSE;FALSE;2638
20;SEROPEDICA-unit3;0;0;FALSE;FALSE;505
21;SEROPEDICA-unit4;0;0;FALSE;FALSE;2638
22;SEROPEDICA-unit5;0;0;FALSE;FALSE;2638
23;SEROPEDICA-unit6;0;0;FALSE;FALSE;1531
24;SEROPEDICA-unit7;0;0;FALSE;FALSE;1177
25;SEROPEDICA-unit8;0;0;FALSE;FALSE;1487
26;JARAQUI-unit6;39.4;1;FALSE;FALSE;3966
27;JARAQUI-unit7;20.6;1;FALSE;FALSE;3966
28;MANAUARA-unit1;16.7;1;FALSE;FALSE;3304
29;MANAUARA-unit2;0;0;FALSE;FALSE;216
30;MANAUARA-unit3;14.899999999999999;1;FALSE;FALSE;208
31;MANAUARA-unit4;16.7;1;FALSE;FALSE;562
32;MANAUARA-unit5;16.7;1;FALSE;FALSE;3304
33;N.FLU_DESSEM-unit1;163.6;1;FALSE;FALSE;134
34;N.FLU_DESSEM-unit2;163.6;1;FALSE;FALSE;134
