<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
0;PAMPA SUL;0;0;FALSE;FALSE;2504
1;CANDIOTA 3;300.0;1;FALSE;FALSE;1212
2;P. PECEM-unit1;0;0;FALSE;FALSE;2826
3;P. PECEM-unit2;0;0;FALSE;FALSE;2683
4;P.ITAQUI;0;0;FALSE;FALSE;2817
5;PECEM 2;0;0;FALSE;FALSE;3142
6;J.LACERDA-C-unit7;0;0;FALSE;FALSE;760
7;J.LACERDA-B-unit5;80.01;1;FALSE;FALSE;931
8;J.LACERDA-B-unit6;0;0;FALSE;FALSE;1068
9;J.LACERDA-A1-unit1;0;0;FALSE;FALSE;2232
10;J.LACERDA-A1-unit2;0;0;FALSE;FALSE;2325
11;J.LACERDA-A2-unit3;0;0;FALSE;FALSE;576
12;J.LACERDA-A2-unit4;33.01;1;FALSE;FALSE;569
13;ARAUCARIA-unit1;0;0;FALSE;FALSE;2134
14;ARAUCARIA-unit2;0;0;FALSE;FALSE;2134
15;ARAUCARIA-unit3;0;0;FALSE;FALSE;2134
16;CUBATAO-unit1;0;0;FALSE;FALSE;960
17;CUBATAO-unit2;45.0;1;FALSE;FALSE;48
18;SEROPEDICA-unit1;0;0;FALSE;FALSE;3024
19;SEROPEDICA-unit2;0;0;FALSE;FALSE;5134
20;SEROPEDICA-unit3;0;0;FALSE;FALSE;3001
21;SEROPEDICA-unit4;0;0;FALSE;FALSE;2376
22;SEROPEDICA-unit5;0;0;FALSE;FALSE;5134
23;SEROPEDICA-unit6;0;0;FALSE;FALSE;4027
24;SEROPEDICA-unit7;0;0;FALSE;FALSE;3673
25;SEROPEDICA-unit8;0;0;FALSE;FALSE;3983
26;JARAQUI-unit6;26.899999999999995;1;FALSE;FALSE;6462
27;JARAQUI-unit7;36.1;1;FALSE;FALSE;6462
28;MANAUARA-unit1;16.7;1;FALSE;FALSE;336
29;MANAUARA-unit2;16.7;1;FALSE;FALSE;49
30;MANAUARA-unit3;16.7;1;FALSE;FALSE;159
31;MANAUARA-unit4;14.899999999999999;1;FALSE;FALSE;216
32;MANAUARA-unit5;0;0;FALSE;FALSE;45
33;N.FLU_DESSEM-unit1;0;0;FALSE;FALSE;73
34;N.FLU_DESSEM-unit2;154.63333333333333;1;FALSE;FALSE;73
35;N.FLU_DESSEM-unit3;154.63333333333333;1;FALSE;FALSE;73
36;N.FLU_DESSEM-unit4;154.63333333333333;1;FALSE;FALSE;73
37;P. NEGRA-unit1;16.5;1;FALSE;FALSE;6322
38;P. NEGRA-unit2;16.5;1;FALSE;FALSE;6322
39;P. NEGRA-unit3;16.5;1;FALSE;FALSE;6322
40;P. NEGRA-unit4;14.499999999999998;1;FALSE;FALSE;6322
41;TERMORIO-unit1;0;0;FALSE;FALSE;4438
42;TERMORIO-unit2;0;0;FALSE;FALSE;4438
43;TERMORIO-unit3;0;0;FALSE;FALSE;4438
44;TERMORIO-unit4;0;0;FALSE;FALSE;4438
45;TERMORIO-unit5;0;0;FALSE;FALSE;4438
46;TERMORIO-unit6;90.0;1;FALSE;FALSE;4438
47;TERMORIO-unit7;90.0;1;FALSE;FALSE;4438
48;TERMORIO-unit8;90.0;1;FALSE;FALSE;4438
49;T.LAGOAS-unit1;0.0;0;FALSE;FALSE;3600
50;T.LAGOAS-unit2;0.0;0;FALSE;FALSE;3600
51;T.LAGOAS-unit3;0.0;0;FALSE;FALSE;3600
52;T.LAGOAS-unit4;0.0;0;FALSE;FALSE;3600
53;T.LAGOAS-unit5;0.0;0;FALSE;FALSE;3600
54;T.LAGOAS-unit6;0.0;0;FALSE;FALSE;3600
55;MARANHAO 3-unit1;155.0;1;FALSE;FALSE;617
56;MARANHAO 3-unit2;155.0;1;FALSE;FALSE;617
57;MARANHAO 3-unit3;208.0;1;FALSE;FALSE;617
58;TERMOPERNAMB-unit1;0.0;0;FALSE;FALSE;3600
59;TERMOPERNAMB-unit2;0.0;0;FALSE;FALSE;3600
60;TERMOPERNAMB-unit3;0.0;0;FALSE;FALSE;3600
61;B FLUMINENSE-unit1;150.0;1;FALSE;FALSE;3120
62;B FLUMINENSE-unit2;150.0;1;FALSE;FALSE;3120
63;B FLUMINENSE-unit3;229.99999999999997;1;FALSE;FALSE;3120
64;MARANHAO 4-unit1;0;0;FALSE;FALSE;2711
65;MARANHAO 4-unit2;0.0;0;FALSE;FALSE;3600
66;MARANHAO 5-unit1;0;0;FALSE;FALSE;2712
67;MARANHAO 5-unit2;0.0;0;FALSE;FALSE;3600
68;FORTALEZA-unit1;0;0;FALSE;FALSE;3781
69;FORTALEZA-unit2;0;0;FALSE;FALSE;5209
70;FORTALEZA-unit3;0;0;FALSE;FALSE;3143
71;LINHARES-unit1;51.0;1;FALSE;FALSE;4321
72;LINHARES-unit2;34.0;1;FALSE;FALSE;275
73;LINHARES-unit3;51.0;1;FALSE;FALSE;4321
74;LINHARES-unit4;51.0;1;FALSE;FALSE;240
75;N VENECIA;0;0;FALSE;FALSE;4671
76;J.DEFORA-unit1;0;0;FALSE;FALSE;2193
77;J.DEFORA-unit2;0;0;FALSE;FALSE;3479
78;RALMEIDA(L)-unit1;0;0;FALSE;FALSE;3662
79;RALMEIDA(L)-unit2;0;0;FALSE;FALSE;5668
80;RALMEIDA(L)-unit3;0;0;FALSE;FALSE;4031
81;RALMEIDA(L)-unit4;0;0;FALSE;FALSE;6384
82;IBIRITE-gas;0;0;FALSE;FALSE;1370
83;IBIRITE-steam;0.0;0;FALSE;FALSE;3600
84;TERMOCEARA(L)-unit1;0;0;FALSE;FALSE;3720
85;TERMOCEARA(L)-unit2;0;0;FALSE;FALSE;2664
86;TERMOCEARA(L)-unit3;0;0;FALSE;FALSE;3696
87;TERMOCEARA(L)-unit4;0;0;FALSE;FALSE;3720
88;TERMOBAHIA;0;0;FALSE;FALSE;47
89;VALE DO ACU-unit1;155.0;1;FALSE;FALSE;168
90;VALE DO ACU-unit2;0;0;FALSE;FALSE;197
91;URUGUAIANA-unit1;0;0;FALSE;FALSE;6716
92;URUGUAIANA-unit2;0;0;FALSE;FALSE;6716
93;URUGUAIANA-unit3;0;0;FALSE;FALSE;6716
94;M.COVAS-unit1;0;0;FALSE;FALSE;4153
95;M.COVAS-unit2;0;0;FALSE;FALSE;4153
96;M.COVAS-unit3;0;0;FALSE;FALSE;4153
97;NPIRATININGA-unit1;0;0;FALSE;FALSE;9432
98;NPIRATININGA-unit2;0;0;FALSE;FALSE;9432
99;NPIRATININGA-unit3;0;0;FALSE;FALSE;9432
100;NPIRATININGA-unit4;0;0;FALSE;FALSE;8895
101;NPIRATININGA-unit5;0;0;FALSE;FALSE;8895
102;NPIRATININGA-unit6;0;0;FALSE;FALSE;5891
103;TERMOMACAE-unit1;0;0;FALSE;FALSE;3980
104;TERMOMACAE-unit2;0;0;FALSE;FALSE;6384
105;TERMOMACAE-unit3;0;0;FALSE;FALSE;2171
106;TERMOMACAE-unit4;0;0;FALSE;FALSE;6384
107;TERMOMACAE-unit5;0;0;FALSE;FALSE;6384
108;TERMOMACAE-unit6;0;0;FALSE;FALSE;6384
109;TERMOMACAE-unit7;0;0;FALSE;FALSE;6384
110;TERMOMACAE-unit8;0;0;FALSE;FALSE;6384
111;TERMOMACAE-unit9;0;0;FALSE;FALSE;6384
112;TERMOMACAE-unit10;0;0;FALSE;FALSE;6384
113;TERMOMACAE-unit11;0;0;FALSE;FALSE;6384
