<BEGIN>;Coefficients ($/hm3) and RHS ($) -- alpha + coef*v...>= RHS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cut (j);CAMARGOS;ITUTINGA;FUNIL - GRANDE;FURNAS;MASCARENHAS DE MORAES;LC BARRETO;JAGUARA;IGARAPAVA;VOLTA GRANDE;PORTO COLÔMBIA;CACONDE;E. DA CUNHA;A. S. OLIVEIRA;MARIMBONDO;A. VERMELHA;BATALHA;SERRA DO FACÃO;EMBORCACAO;NOVA PONTE;MIRANDA;AMADOR AGUIAR I;AMADOR AGUIAR II;CORUMBÁ IV;CORUMBÁ I;ITUMBIARA;CACH.DOURADA;SAO SIMAO;I. SOLTEIRA;BARRA BONITA;BARIRI;IBITINGA;PROMISSÃO;N.AVANHANDAVA;TRES IRMAOS;JUPIA;P. PRIMAVERA;JURUMIRIM;PIRAJU;CHAVANTES;L. N. GARCEZ;CANOAS II;CANOAS I;MAUÁ;CAPIVARA;TAQUARUCU;ROSANA;ITAIPU;SANTA CLARA - PR;FUNDÃO;JORDÃO;G.B. MUNHOZ;SEGREDO;SLT.SANTIAGO;SALTO OSORIO;SALTO CAXIAS;BAIXO IGUAÇU;BARRA GRANDE;GARIBALDI;CAMPOS NOVOS;MACHADINHO;ITA;PASSO FUNDO;MONJOLINHO;QUEBRA-QUEIXO;CASTRO ALVES;MONTE CLARO;14 DE JULHO;SÃO JOSÉ;PASSO S. JOÃO;FOZ DO CHAPECÓ;EDGARD DE SOUZA;TRAIÇÃO;PEDREIRA;ERNESTINA;PASSO REAL;JACUÍ;ITAÚBA;DONA FRANCISCA;CAPIVARI-CACHOEIRA;GUARAPIRANGA;BILLINGS;HENRY BORDEN;JAGUARI;PARAIBUNA;SANTA BRANCA;FUNIL;LAJES;SANTA CECÍLIA;PICADA;SOBRAGI;SIMPLÍCIO;ILHA DOS POMBOS;NILO PEÇANHA;PEREIRA PASSOS;SALTO GRANDE;PORTO ESTRELA;CANDONGA;BAGUARI;AIMORÉS;MASCARENHAS;IRAPÉ;SÃO DOMINGOS;ITAPEBI;RETIRO BAIXO;TRES MARIAS;QUEIMADO;SOBRADINHO;ITAPARICA;MOXOTO;P.AFONSO 123;P.AFONSO 4;XINGO;TOCOS;SANTANA;VIGARIO;FONTES;FONTES BC;PEDRA DO CAVALO;BOA ESPERANÇA;GUILMAN-AMORIM;SÁ CARVALHO;JAURU;GUAPORÉ;CORUMBÁ III;CACHOEIRA CALDEIRÃO;SALTO PILÃO;ROSAL;SINOP;COLÍDER;TELES PIRES;SÃO MANOEL;SALTO DO RIO VERDINHO;OURINHOS;SERRA MESA;CANA BRAVA;SÃO SALVADOR;PEIXE ANGICAL;LAJEADO;SALTO;ESTREITO TOC;CURUÁ-UNA;TUCURUI;RONDON II;BALBINA;MANSO;SAMUEL;COARACY NUNES;PONTE PEDRA;SANTA CLARA - MG;FERREIRA GOMES;JIRAU;SANTO ANTÔNIO JARI;STO ANTONIO;BELO MONTE;ESPORA;ITIQUIRA I;ITIQUIRA II;DARDANELOS;CAÇU;BARRA DOS COQUEIROS;PIMENTAL;FOZ DO RIO CLARO;RHS ($)
1;159276.354;154237.4292;147807.1605;140095.6577;120440.6403;110183.4274;95089.32869;85060.42307;80972.49624;74298.47819;111850.8714;92157.98611;74391.74936;72109.09516;58863.68278;132302.597;126007.2586;112806.468;150714.3699;130200.5612;115493.5709;97961.80547;124627.9202;103238.4069;87716.96506;70313.81296;63837.96235;46790.27686;71240.27022;66979.24824;62530.26684;59740.16157;53987.42693;46688.50391;0;29726.2215;91290.17887;84278.94586;78411.76476;58508.44589;54424.22629;50819.27608;119140.74;47187.24312;36936.38359;30330.03963;27516.81287;136210.6843;112421.0577;88972.48909;117703.1786;89873.46618;61287.94187;36390.30727;16153.697;0;1037265.238;1057788.337;1046837.4;1003180.349;284696.1302;95496.31167;28619.50908;29279.17135;36295.74553;16738.0969;7821.655723;11503.44915;6745.702764;12718.30096;70091.22271;70798.98243;147440.7358;41638.79434;42199.29645;33414.47106;30616.19216;8025.898043;182544.6751;87787.42303;147359.6636;161811.2224;50774.18789;63305.14802;42214.96344;23156.69326;23847.66667;7399.243386;33060.55118;15329.02759;6772.056101;4781.62518;15449.1028;-2970.15665;39026.4991;27030.01998;14033.79951;14024.85376;10184.43532;4082.216916;57871.8623;34707.73882;20347.23638;30191.64463;22259.71626;63070.10723;1818.447734;-4360.696958;-16951.07789;-22373.80728;-16951.07789;-45576.43251;22455.21946;2840.514989;15448.85573;25486.80663;15448.85573;97462.76942;8599.530656;49791.40988;28612.18957;24163.97005;40614.1358;110374.0301;4926.502932;35236.44515;2990.231384;8019.408153;2326.292877;2326.446484;-510.8362183;52014.76787;61125.25428;70299.47316;37756.73321;27243.03835;22801.95959;16070.74073;61840.24344;10169.81573;165.8620083;8594.710558;8282.964949;4453.037532;13296.59853;4137.855095;2472.464753;1043.694754;11476.3057;2480.922021;-1760.375396;3624.861076;-915.6400724;16537.62375;56529.52772;17266.31183;8819.248584;-213.9577215;62611.9725;56017.58212;16537.0428;50184.59317;87994543858
2;154288.4078;149503.122;143515.2989;136207.1609;117480.0712;107461.6505;92831.1511;82800.62183;78833.46865;72354.70916;108610.743;89400.91638;72203.0885;69784.38263;57041.97685;128808.8784;122605.7365;109678.777;146492.9415;126307.4291;112143.5735;95150.18081;121072.1963;100308.009;85175.43143;68265.17333;61945.75933;45428.50692;69160.66094;65042.58657;60746.47197;58067.27474;52504.94647;45397.28732;0;28794.65876;88731.047;81880.0583;76139.53349;56740.1057;52774.01832;49277.64172;73559.71607;45724.64035;35757.57912;29373.40323;26631.7443;131383.1179;108255.6061;85963.37995;113913.7398;87039.5368;59385.6174;35141.16457;15627.9186;0;101337.1107;120095.0471;109253.194;64971.34479;37297.7262;92995.72716;27650.90906;27579.37088;35098.78582;16186.7981;7563.033549;11113.18055;6517.289996;12261.15398;68047.19052;68734.30564;142926.9186;41321.33335;40951.29515;32099.28792;29599.60982;7758.083878;175948.5206;84761.76981;142848.3284;156525.4628;49224.3172;61639.32489;41238.57564;22601.14354;21941.1451;7366.456258;32235.13292;15025.62332;6687.780168;4650.452913;14662.88443;-3238.356846;37707.62843;26099.2915;13555.04417;13546.40434;9836.084684;3939.929457;56367.63958;33575.81675;19603.91643;14663.93413;7020.431954;56965.41211;-1813.998895;-7587.083474;-19669.77691;-24915.36799;-19669.77691;-47346.54772;20588.90573;2466.163332;14662.63735;23635.08551;14662.63735;26268.5805;8438.138176;48111.05375;27625.441;23381.02522;39315.20224;107200.5462;4766.257968;34158.3584;2925.300241;11406.62435;4169.83406;4169.923754;9.029889133;50393.10823;59290.02421;68670.25855;37333.96688;27146.27099;23100.66619;16178.72907;59882.64258;10048.68078;362.7053604;8583.239489;8034.039559;4341.459169;12912.83412;4196.254033;2390.453522;1049.025074;11106.61719;2398.638459;-1704.019576;3525.249445;-886.3268882;16056.08589;54625.37433;16929.96088;8768.584976;-207.1141696;60628.04253;54282.7737;16055.56985;48663.91957;73493097371
3;154772.5157;149891.7572;143706.5257;136255.8757;117266.2636;107343.4168;92721.26919;82765.8155;78803.78029;72330.58738;108658.0878;89444.55445;72243.20222;69822.06381;57059.11938;128870.009;122661.5812;109734.7135;146566.0971;126347.1287;112155.7092;95198.33258;121134.0219;100354.2302;85219.44189;68306.96728;61978.62645;45409.11084;69170.68689;65051.45161;60754.42402;58040.99965;52475.75972;45370.78465;0;28793.44522;88774.38236;81918.7015;76177.34872;56771.90394;52807.06394;49310.36237;73783.32503;45754.78379;35779.44108;29382.76876;26631.88432;131411.6125;108292.258;86008.68964;113961.268;87031.06106;59410.50338;35161.06773;15624.1257;0;101945.0657;121096.3849;110127.4334;67488.64318;37296.00694;93037.98437;27646.1266;28246.09786;35091.65102;16185.00177;7563.371129;11112.68378;6517.030578;12259.30878;68057.50436;68744.72367;142993.4304;40559.4325;41101.25512;32599.64914;29600.45227;7762.34987;176012.2461;84749.75833;142914.8036;156499.1261;49247.39512;61662.84543;41264.31192;22617.49432;36128.63644;7380.805818;32261.51371;15043.51966;6699.248866;4651.644626;26042.28506;8092.562636;37714.61839;26092.07004;13555.66552;13547.02529;9836.08046;3940.426527;56384.67185;33577.70912;19605.19384;26100.08121;18452.67739;57006.70984;-1794.357955;-7572.865474;-19654.27249;-24898.98216;-19654.27249;-47325.67255;33738.38068;13847.61613;26042.03799;37389.84889;26042.03799;43891.62343;8435.275531;48114.56946;27623.79539;23382.34361;39317.61763;107248.8138;4765.89908;34159.11015;2926.390742;10338.88714;3437.343918;3437.44434;-65.95281005;50408.34612;59322.52722;68691.72017;37339.38779;27152.94735;23100.05023;16182.81784;59899.22303;10053.07235;362.439952;8589.13878;8033.6574;4342.550898;12916.90325;4211.109571;2390.402552;1049.256273;11098.67343;2398.58732;-1704.118842;3524.46269;-886.3785211;16055.0151;54816.57001;16919.04955;8761.729209;-207.126224;60641.7939;54298.0079;16054.4588;48678.17654;73893020708
4;154645.1576;149805.6833;143699.189;136252.9192;117289.2419;107370.9937;92744.41268;82783.89154;78820.62992;72344.3071;108657.9638;89447.93748;72242.57984;69825.43263;57061.51718;128862.8829;122656.3512;109729.9633;146559.1084;126357.2155;112159.3131;95192.5259;121128.8572;100349.8094;85214.02619;68300.53058;61975.88718;45410.12045;69171.32689;65051.24794;60753.25359;58047.22817;52480.54961;45373.6742;0;28793.4652;88769.45004;81914.3018;76172.19795;56767.23452;52800.95168;49303.75283;73682.58007;45750.39675;35779.91633;29383.40614;26635.02513;131430.7169;108297.0392;86010.00289;113967.0096;87030.7362;59403.4482;35148.80422;15627.2147;0;101875.0478;120969.5784;110016.6228;67263.14118;37303.45916;93041.87054;27651.65563;28242.40714;35101.59956;16188.95658;7565.297096;11114.82593;6518.522481;12262.86323;68057.98053;68745.20464;142997.0881;40558.33724;41100.45612;32597.50388;29607.15047;7765.164212;176060.1972;84774.12381;142918.4593;156527.2494;49246.38371;61660.67041;41254.79517;22606.74185;21973.78431;7368.123792;32257.86033;15034.46889;6688.012264;4652.986983;14685.79388;-3235.289492;37722.07606;26102.61662;13559.11675;13550.47432;9838.967236;3941.255446;56385.71768;33577.70229;19606.08037;14732.29387;7083.387677;56985.39884;-1805.113101;-7585.497444;-19669.65502;-24915.30719;-19669.65502;-47346.28367;20620.22282;2488.933571;14685.5468;23664.29463;14685.5468;26263.3158;8437.369429;48124.07076;27630.03247;23390.14706;39327.88491;107246.466;4767.320638;34165.98925;2926.951369;11404.0134;4169.400831;4169.490525;8.313046799;50409.71356;59318.10921;68692.11912;37345.22604;27157.17484;23110.2628;16188.37776;59902.97766;10058.44461;362.7714655;8595.558796;8037.387705;4342.869249;12917.61152;4198.411952;2390.951863;1048.999647;11101.62975;2399.138455;-1704.666708;3525.773524;-886.6634903;16060.00514;54819.27753;16928.89712;8768.257988;-207.1927538;60648.16239;54300.37597;16059.4817;48679.11587;73515281474
5;154629.1687;149789.5291;143684.1748;136238.7001;117274.6867;107357.2665;92732.60179;82774.35056;78811.60373;72336.46721;108646.6864;89437.95931;72235.19081;69816.63394;57053.61604;128851.0036;122643.8244;109719.0371;146544.1452;126340.4893;112142.9023;95181.58534;121116.6129;100339.899;85205.12246;68292.53288;61967.63541;45403.12493;69164.35272;65044.86474;60747.53622;58040.21802;52474.17305;45367.43249;0;28789.38303;88760.70339;81905.83823;76164.941;56762.26889;52796.57543;49299.7084;73674.41357;45746.6327;35777.98598;29379.36384;26631.3345;131420.0976;108286.513;85999.576;113954.0663;87019.89891;59397.35549;35145.54799;15625.47794;0;101838.5467;120889.6991;109969.6325;67172.64928;37299.37073;93034.01799;27648.95075;28139.29612;35097.58364;16187.29814;7564.194812;11113.00438;6517.507236;12261.58261;68051.09958;68738.25419;142983.7924;41331.52166;40965.10205;32112.14098;29598.8947;7758.692932;176038.1952;84768.35274;142905.1709;156510.3649;49243.16496;61656.66854;41251.61913;22604.13937;21967.75342;7367.617953;32251.60987;15031.85238;6687.576412;4652.075676;14677.59608;-3236.683802;37714.91696;26099.0898;13556.71227;13548.07138;9837.144129;3940.397204;56380.65649;33572.65235;19604.57984;26085.85987;18438.15394;56990.18658;-1804.846048;-7584.244029;-19666.95702;-24912.04253;-19666.95702;-47341.34751;20613.52067;2482.051423;14677.34901;23657.47101;14677.34901;26260.8302;8437.143268;48116.26066;27626.31298;23387.24428;39321.40978;107234.9856;4767.087876;34160.09363;2925.671896;11402.72579;4168.19162;4168.281313;8.466742674;50402.01747;59312.76534;68687.19257;37338.95323;27152.21198;23105.61672;16184.36497;59892.95395;10054.5775;363.4809889;8590.90963;8035.308654;4342.553152;12916.25571;4196.604472;2390.831058;1048.691448;11101.47996;2399.017249;-1704.37254;3525.540167;-886.5104806;16059.15154;54809.08434;16926.91194;8767.277624;-207.1570317;60635.83222;54289.71254;16058.63445;48670.86069;73784422964
6;154658.6439;149818.69;143711.2613;136264.4777;117343.9671;107434.9233;92802.48684;82818.35954;78851.45798;72372.71667;108670.4313;89455.63474;72248.94082;69837.1685;57071.15168;128872.7037;122666.6955;109739.112;146571.9749;126367.2886;112168.1184;95202.70957;121139.4221;100362.412;85225.89157;68312.87308;61988.0805;45417.47716;69178.56813;65057.7844;60759.41305;58053.48593;52485.95644;45378.78065;0;28799.79169;88777.26473;81922.9347;76181.07222;56777.81368;52811.82154;49313.75352;73693.82311;45760.71071;35790.0853;29389.38776;26639.75163;131436.7289;108314.9877;86021.95757;113982.0024;87040.24787;59413.96142;35156.90866;15632.28709;0;101698.526;120658.6442;109744.8831;66652.35414;37313.3933;93041.46701;27659.28197;28103.14582;35111.24012;16193.74891;7567.04251;11118.0995;6520.339342;12265.4007;68065.07188;68752.36357;142998.3817;41354.65839;41046.63395;32397.18475;29609.89991;7762.026189;176054.8145;84764.78256;142919.7522;156575.9773;49248.52664;61663.74943;41262.8613;22617.47459;35167.94805;7375.697717;32267.23026;15042.53469;6695.74679;4653.088001;26034.38499;8096.213354;37727.16661;26108.61613;13561.64832;13553.00427;9840.470166;3941.913279;56389.82836;33585.36336;19610.64453;14756.47351;7104.437414;57004.32698;-1796.496299;-7576.841779;-19663.83306;-24911.11741;-19663.83306;-47348.65403;33288.65048;13833.72781;26034.13792;36686.97013;26034.13792;26264.24973;8436.858366;48131.69526;27633.17951;23394.48368;39333.1906;107257.5236;4766.653292;34177.45353;2925.687857;10493.83365;3566.425896;3566.526318;-62.04148519;50416.42661;59328.5781;68693.29357;37349.99022;27159.20269;23106.58775;16185.95834;59909.82091;10055.23107;363.3004896;8591.682327;8034.857774;4342.828721;12918.88741;4208.785932;2390.710873;1049.248653;11105.67474;2398.896665;-1704.887382;3525.619549;-886.7782728;16058.12668;54821.68908;16925.71106;8765.497173;-207.2195513;60652.17574;54305.16716;16057.57048;48685.37091;73530677303
7;154569.9869;149736.2115;143637.1094;136263.2151;117551.5178;107532.5032;92893.14681;82875.67737;78906.71118;72424.44941;108691.1474;89483.12149;72272.46374;69872.82937;57106.33881;128861.2321;122656.8801;109730.3723;146559.3931;126372.5092;112188.2749;95195.8724;121130.9298;100355.8021;85218.30735;68303.90551;61983.57774;45473.50624;69220.02018;65098.82974;60799.46919;58116.13975;52549.76882;45438.78915;0;28837.37743;88768.94758;81915.27877;76174.07206;56773.92338;52807.79535;49308.99515;73633.83511;45762.33587;35800.30338;29399.99683;26649.19039;131430.9106;108306.3442;86000.58917;113969.164;87079.63207;59402.15005;35134.18183;15637.67168;0;101508.1138;120337.9316;109437.366;65970.94941;37321.92787;93036.46652;27668.04102;28038.52876;35124.88584;16199.36599;7569.170555;11122.03726;6522.672401;12269.03283;68105.70546;68793.41165;142986.0394;40813.3144;41087.03065;32547.52488;29625.44015;7770.018079;176069.3737;84819.11173;142907.4167;156628.0625;49243.2389;61658.31391;41252.60994;22610.64059;21973.34243;7364.969037;32261.26366;15033.3442;6685.987896;4654.126702;14692.13208;-3231.468291;37737.13459;26119.45544;13565.52979;13556.88326;9843.436912;3942.829829;56389.07795;33623.65072;19610.88332;26082.77941;18429.04812;56972.88575;-1816.592586;-7599.187526;-19690.43973;-24939.47;-19690.43973;-47384.85655;20616.96773;2487.416412;14691.885;23665.6217;14691.885;43904.42749;8437.750003;48145.3454;27640.92372;23402.60345;39346.22057;107252.8278;4767.53379;34186.57246;2925.733266;10917.01591;3874.97683;3875.070778;-37.97864945;50450.21481;59324.70752;68690.24525;37359.81288;27165.34989;23115.84872;16191.83975;59947.21117;10060.13869;363.4663126;8596.847005;8038.209369;4342.807692;12919.3954;4203.530151;2391.120466;1049.519495;11110.30517;2399.307619;-1705.469441;3526.80274;-887.0810277;16061.09258;54681.8053;16933.76945;8769.771209;-207.2902335;60691.72153;54339.98906;16060.54959;48717.97948;73873349447
8;154574.5561;149739.8208;143640.4999;136264.684;117376.1765;107469.5319;92831.24124;82831.41168;78862.77911;72381.6384;108668.35;89457.20971;72246.02384;69842.70288;57074.19737;128866.4688;122662.3097;109735.9491;146566.113;126380.4541;112191.6175;95200.72325;121136.0015;100360.7193;85223.91782;68309.4275;61987.27604;45423.69427;69185.48176;65064.15758;60764.95343;58066.84195;52497.8808;45389.06315;0;28803.58216;88772.59397;81918.28881;76177.08222;56776.05148;52809.32817;49310.45839;73633.32191;45760.67985;35794.71995;29394.33094;26644.63577;131434.3856;108306.4406;86001.91531;113971.1575;87081.59391;59404.72334;35137.9554;15636.57401;0;101560.664;120420.0393;109525.1331;66151.22357;37321.51385;93041.14177;27666.54164;28035.84788;35122.7581;16198.23004;7568.674798;11121.02644;6522.170938;12268.62206;68071.54895;68758.91011;142487.9703;41317.13954;41079.12613;32516.59983;29624.24955;7769.296381;176072.9643;84786.66616;142916.97;156616.83;49246.79764;61661.74806;41254.62119;22610.27028;21975.85174;7364.782538;32262.86281;15034.2808;6686.201005;4654.217102;14692.00491;-3231.843666;37736.3259;26117.71496;13564.92138;13556.27524;9842.943405;3942.818711;56391.224;33589.82756;19613.54515;14750.96562;7097.59039;56987.46652;-1805.903837;-7588.143341;-19678.77969;-24927.43313;-19678.77969;-47372.56355;20620.22865;2488.164482;14691.75784;23667.12678;14691.75784;26271.64221;8438.097297;48143.946;27640.49578;23401.58507;39344.85567;107257.0014;4767.406922;34185.41803;2926.63163;10987.79352;3921.064323;3921.158271;-5.139520329;50417.75979;59327.11642;68693.50461;37359.03134;27166.12661;23115.59356;16192.42492;59914.24644;10060.42385;363.5088189;8597.155846;8040.782245;4342.974169;12919.67475;4202.367011;2390.980286;1049.343513;11109.41034;2399.166973;-1705.392114;3526.507497;-887.0408066;16060.94541;54650.5955;16933.96633;8770.338137;-207.2808433;60658.9507;54307.57032;16060.405;48685.72159;73510053583
9;154573.8875;149739.5064;143640.4644;136265.902;117540.9451;107518.3918;92878.89927;82865.81944;78896.85621;72415.09538;108694.915;89484.91512;72273.70493;69871.4301;57102.47889;128865.3897;122661.0015;109733.9163;146564.3137;126381.2063;112191.9532;95197.60687;121134.0364;100357.7876;85218.6611;68302.46201;61979.89592;45459.237;69215.81255;65094.43779;60795.1156;58104.2047;52535.73305;45425.33855;0;28831.99675;88771.88759;81917.51919;76176.07751;56774.49312;52807.43919;49308.68023;73693.98996;45761.14602;35798.1581;29397.81185;26646.63943;131458.6472;108327.9412;86026.77497;113991.784;87044.18083;59408.87053;35143.32268;15638.29857;0;101563.4608;120424.0669;109531.4548;66155.8826;37324.37589;93043.57431;27668.67974;28038.02526;35124.0901;16199.21787;7569.159403;11121.36573;6522.326404;12269.43528;68101.53454;68789.1986;142997.8807;40595.14743;41098.12514;32582.61133;29625.80943;7769.900663;176093.2279;84816.50456;142919.2515;156632.3136;49246.79652;61661.36492;41255.2787;22610.99002;36116.76496;7365.207055;32265.29811;15035.43712;6686.710867;4654.651723;26036.16876;8099.286689;37738.86124;26119.51971;13565.78235;13557.13566;9843.58328;3942.852227;56391.17592;33618.09504;19610.59697;26088.2774;18436.57038;56986.95686;-1804.155106;-7586.776862;-19678.30129;-24927.47363;-19678.30129;-47373.26351;33729.96485;13831.12185;26035.92169;37386.41567;26035.92169;26273.72451;8438.694237;48146.51005;27641.79916;23403.61824;39347.41368;107255.136;4768.031515;34183.84608;2926.388376;11348.2876;4164.257516;4164.34721;6.130832725;50445.66835;59325.7779;68693.22283;37358.16923;27164.76907;23116.15751;16191.35398;59942.78642;10059.21513;363.5720021;8595.449137;8038.535547;4343.044598;12919.92372;4199.471719;2391.284283;1049.356758;11110.01788;2399.47198;-1705.534372;3526.997622;-887.1148015;16062.79512;54852.181;16935.30288;8771.457491;-207.2981184;60688.65878;54336.05388;16062.27167;48713.70359;73813033118
10;154653.3229;149813.5437;143706.0518;136261.6468;117349.5896;107440.2372;92806.60215;82820.71559;78853.54229;72373.97393;108666.9961;89454.67242;72246.2996;69837.35285;57070.89781;128868.0982;122662.9188;109736.1856;146566.9158;126374.5398;112173.2278;95198.28885;121136.0212;100358.81;85221.69657;68308.4817;61986.06894;45416.18754;69178.41542;65057.3096;60758.53684;58055.33717;52487.10965;45378.87532;0;28797.92544;88773.45888;81918.41925;76176.81193;56773.81003;52807.47121;49309.31008;73690.38986;45757.54183;35789.182;29388.73702;26639.72172;131444.1987;108316.0787;86020.80253;113982.2037;87038.05107;59409.96817;35151.7225;15633.52158;0;101678.3352;120619.8083;109722.79;66581.61776;37315.49375;93043.55621;27661.49649;28029.08883;35116.01572;16195.34388;7567.602884;11118.39493;6520.515494;12266.29226;68064.8124;68752.10979;143000.6721;40590.01833;41098.96045;32586.35881;29618.02439;7767.42089;176074.2131;84780.27727;142922.0414;156587.2408;49248.55766;61663.41893;41255.99984;22608.49114;21976.2752;7366.061561;32259.88963;15034.03725;6686.680964;4653.570823;14690.30641;-3233.47585;37729.68354;26111.47035;13562.35627;13553.71177;9841.10508;3942.078134;56390.41298;33583.33474;19611.84625;26094.11739;18442.37231;56994.13352;-1800.532008;-7581.382608;-19669.57615;-24917.23797;-19669.57615;-47357.53529;20621.52594;2488.771575;14690.05933;23667.48934;14690.05933;26269.08749;8437.894962;48133.98264;27634.88115;23396.76238;39337.19855;107255.3917;4767.076115;34177.41563;2926.173479;11108.25815;3972.748424;3972.842372;-3.278119651;50415.79264;59324.69301;68694.58381;37355.28713;27164.01264;23113.17063;16191.13223;59910.61358;10059.90838;363.4632746;8596.785703;8040.801425;4342.985361;12919.08186;4201.013991;2390.807068;1049.238165;11106.86588;2398.993179;-1705.048511;3526.08542;-886.8620833;16059.63849;54821.61735;16931.56866;8769.297974;-207.239118;60655.36707;54305.44354;16059.09893;48684.63922;73785304434
