<BEGIN>
ID;Name;New generation cost ($/(MWh/h)
0;PAMPA SUL;180.0;
1;CANDIOTA 3;86.65;
2;P. PECEM-unit1;156.66;
3;P. PECEM-unit2;156.66;
4;P.ITAQUI;162.13999999999996;
5;PECEM 2;167.62;
6;J.LACERDA-C-unit7;206.84;
7;J.LACERDA-B-unit5;244.14;
8;J.LACERDA-B-unit6;244.14;
9;J.LACERDA-A1-unit1;270.48;
10;J.LACERDA-A1-unit2;270.48;
11;J.LACERDA-A2-unit3;245.21;
12;J.LACERDA-A2-unit4;245.21;
13;ARAUCARIA-unit1;641.69;
14;ARAUCARIA-unit2;641.69;
15;ARAUCARIA-unit3;641.69;
16;CUBATAO-unit1;334.39;
17;CUBATAO-unit2;334.39;
18;SEROPEDICA-unit1;343.54;
19;SEROPEDICA-unit2;343.54;
20;SEROPEDICA-unit3;343.54;
21;SEROPEDICA-unit4;343.54;
22;SEROPEDICA-unit5;343.54;
23;SEROPEDICA-unit6;343.54;
24;SEROPEDICA-unit7;343.54;
25;SEROPEDICA-unit8;343.54;
26;JARAQUI-unit6;0.0;
27;JARAQUI-unit7;0.0;
28;MANAUARA-unit1;0.0;
29;MANAUARA-unit2;0.0;
30;MANAUARA-unit3;0.0;
31;MANAUARA-unit4;0.0;
32;MANAUARA-unit5;0.0;
33;N.FLU_DESSEM-unit1;0.0;
34;N.FLU_DESSEM-unit2;0.0;
35;N.FLU_DESSEM-unit3;0.0;
36;N.FLU_DESSEM-unit4;0.0;
37;P. NEGRA-unit1;0.0;
38;P. NEGRA-unit2;0.0;
39;P. NEGRA-unit3;0.0;
40;P. NEGRA-unit4;0.0;
41;TERMORIO-unit1;267.67;
42;TERMORIO-unit2;267.67;
43;TERMORIO-unit3;267.67;
44;TERMORIO-unit4;267.67;
45;TERMORIO-unit5;267.67;
46;TERMORIO-unit6;267.67;
47;TERMORIO-unit7;267.67;
48;TERMORIO-unit8;267.67;
49;T.LAGOAS-unit1;224.4;
50;T.LAGOAS-unit2;224.4;
51;T.LAGOAS-unit3;224.4;
52;T.LAGOAS-unit4;224.4;
53;T.LAGOAS-unit5;224.4;
54;T.LAGOAS-unit6;224.4;
55;MARANHAO 3-unit1;82.48;
56;MARANHAO 3-unit2;80.44;
57;MARANHAO 3-unit3;80.44;
58;TERMOPERNAMB-unit1;173.36;
59;TERMOPERNAMB-unit2;173.36;
60;TERMOPERNAMB-unit3;173.36;
61;B FLUMINENSE-unit1;112.83;
62;B FLUMINENSE-unit2;112.83;
63;B FLUMINENSE-unit3;112.83;
64;MARANHAO 4-unit1;119.11;
65;MARANHAO 4-unit2;127.77;
66;MARANHAO 5-unit1;119.11;
67;MARANHAO 5-unit2;127.77;
68;FORTALEZA-unit1;180.57;
69;FORTALEZA-unit2;180.57;
70;FORTALEZA-unit3;180.57;
71;LINHARES-unit1;189.33;
72;LINHARES-unit2;189.33;
73;LINHARES-unit3;189.33;
74;LINHARES-unit4;189.33;
75;N VENECIA;223.51;
76;J.DEFORA-unit1;283.74;
77;J.DEFORA-unit2;283.74;
78;RALMEIDA(L)-unit1;345.02;
79;RALMEIDA(L)-unit2;345.02;
80;RALMEIDA(L)-unit3;345.02;
81;RALMEIDA(L)-unit4;345.02;
82;IBIRITE-gas;346.37;
83;IBIRITE-steam;346.37;
84;TERMOCEARA(L)-unit1;371.08;
85;TERMOCEARA(L)-unit2;371.08;
86;TERMOCEARA(L)-unit3;371.08;
87;TERMOCEARA(L)-unit4;371.08;
88;TERMOBAHIA;177.5;
