<BEGIN>;;;;;;;;;;;;;;;;
<Hydro generating units>;;;;;;;;;;;;;;;;
ID;Name;Hydro plant ID;Hydro plant name;Group ID;Group name;Bus ID;Bus name;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine type;Turbine or Pump?;Conversion rate MW/(m3/s/) for pumps;ID Bus - DESSEM;Comments
1;G1-G.B. MUNHOZ;12;G.B. MUNHOZ;1;Group 1;800;name;240;418.5;290;360;Francis;Turbine;0;800;
2;G2-G.B. MUNHOZ;12;G.B. MUNHOZ;1;Group 1;800;name;240;418.5;290;360;Francis;Turbine;0;800;
3;G3-G.B. MUNHOZ;12;G.B. MUNHOZ;2;Group 2;800;name;240;418.5;300;372;Francis;Turbine;0;800;
4;G4-G.B. MUNHOZ;12;G.B. MUNHOZ;2;Group 2;800;name;240;418.5;300;372;Francis;Turbine;0;800;
5;G1-SALTO CAXIAS;24;SALTO CAXIAS;1;Group 1;808;name;235;310;415;525;Francis;Turbine;0;808;
6;G2-SALTO CAXIAS;24;SALTO CAXIAS;1;Group 1;808;name;235;310;415;525;Francis;Turbine;0;808;
7;G3-SALTO CAXIAS;24;SALTO CAXIAS;1;Group 1;808;name;235;310;415;525;Francis;Turbine;0;808;
8;G4-SALTO CAXIAS;24;SALTO CAXIAS;1;Group 1;808;name;235;310;415;525;Francis;Turbine;0;808;
9;G1-SLT.SANTIAGO;18;SLT.SANTIAGO;1;Group 1;925;name;270;355;360;382.27;Francis;Turbine;0;925;
10;G2-SLT.SANTIAGO;18;SLT.SANTIAGO;1;Group 1;925;name;270;355;360;382.27;Francis;Turbine;0;925;
11;G3-SLT.SANTIAGO;18;SLT.SANTIAGO;1;Group 1;926;name;270;355;360;382.27;Francis;Turbine;0;926;
12;G4-SLT.SANTIAGO;18;SLT.SANTIAGO;1;Group 1;926;name;270;355;360;382.27;Francis;Turbine;0;926;
13;G1-SEGREDO;23;SEGREDO;1;Group 1;810;name;165;315;209.7;349.5;Francis;Turbine;0;810;
14;G2-SEGREDO;23;SEGREDO;1;Group 1;810;name;165;315;209.7;349.5;Francis;Turbine;0;810;
15;G3-SEGREDO;23;SEGREDO;1;Group 1;810;name;165;315;209.7;349.5;Francis;Turbine;0;810;
16;G4-SEGREDO;23;SEGREDO;1;Group 1;810;name;165;315;209.7;349.5;Francis;Turbine;0;810;
17;G1-SALTO OSORIO;29;SALTO OSORIO;1;Group 1;919;name;130;182;173.4;289;Francis;Turbine;0;919;
18;G2-SALTO OSORIO;29;SALTO OSORIO;1;Group 1;919;name;130;182;173.4;289;Francis;Turbine;0;919;
19;G3-SALTO OSORIO;29;SALTO OSORIO;1;Group 1;919;name;130;182;173.4;289;Francis;Turbine;0;919;
