<BEGIN>;;;;;;;;;;;;;;
<Hydro generating units>;;;;;;;;;;;;;;
ID;Name;Hydro plant ID;Hydro plant name;Group ID;Group name;Bus ID;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine or Pump?;Conversion rate MW/(m3/s/) for pumps;ID Bus - DESSEM;Comments
1;G1-G.B. MUNHOZ;12;G.B. MUNHOZ;1;Group 1;800;240;418.5;290;360;Turbine;0;800;
2;G2-G.B. MUNHOZ;12;G.B. MUNHOZ;1;Group 1;800;240;418.5;290;360;Turbine;0;800;
3;G3-G.B. MUNHOZ;12;G.B. MUNHOZ;2;Group 2;800;240;418.5;300;372;Turbine;0;800;
4;G4-G.B. MUNHOZ;12;G.B. MUNHOZ;2;Group 2;800;240;418.5;300;372;Turbine;0;800;
1;G1-SALTO CAXIAS;24;SALTO CAXIAS;1;Group 1;808;235;310;415;525;Turbine;0;808;
2;G2-SALTO CAXIAS;24;SALTO CAXIAS;1;Group 1;808;235;310;415;525;Turbine;0;808;
3;G3-SALTO CAXIAS;24;SALTO CAXIAS;1;Group 1;808;235;310;415;525;Turbine;0;808;
4;G4-SALTO CAXIAS;24;SALTO CAXIAS;1;Group 1;808;235;310;415;525;Turbine;0;808;
1;G1-SLT.SANTIAGO;18;SLT.SANTIAGO;1;Group 1;925;270;355;360;382.27;Turbine;0;925;
2;G2-SLT.SANTIAGO;18;SLT.SANTIAGO;1;Group 1;925;270;355;360;382.27;Turbine;0;925;
3;G3-SLT.SANTIAGO;18;SLT.SANTIAGO;1;Group 1;926;270;355;360;382.27;Turbine;0;926;
4;G4-SLT.SANTIAGO;18;SLT.SANTIAGO;1;Group 1;926;270;355;360;382.27;Turbine;0;926;
1;G1-SEGREDO;23;SEGREDO;1;Group 1;810;165;315;209.7;349.5;Turbine;0;810;
2;G2-SEGREDO;23;SEGREDO;1;Group 1;810;165;315;209.7;349.5;Turbine;0;810;
3;G3-SEGREDO;23;SEGREDO;1;Group 1;810;165;315;209.7;349.5;Turbine;0;810;
4;G4-SEGREDO;23;SEGREDO;1;Group 1;810;165;315;209.7;349.5;Turbine;0;810;
1;G1-SALTO OSORIO;29;SALTO OSORIO;1;Group 1;919;130;182;173.4;289;Turbine;0;919;
2;G2-SALTO OSORIO;29;SALTO OSORIO;1;Group 1;919;130;182;173.4;289;Turbine;0;919;
3;G3-SALTO OSORIO;29;SALTO OSORIO;1;Group 1;919;130;182;173.4;289;Turbine;0;919;
4;G4-SALTO OSORIO;29;SALTO OSORIO;1;Group 1;919;130;182;173.4;289;Turbine;0;919;
5;G5-SALTO OSORIO;29;SALTO OSORIO;2;Group 2;919;130;177.5;173.4;289;Turbine;0;919;
6;G6-SALTO OSORIO;29;SALTO OSORIO;2;Group 2;919;130;177.5;173.4;289;Turbine;0;919;
1;G1-ITA;17;ITA;1;Group 1;904;200;290;215;313;Turbine;0;904;
2;G2-ITA;17;ITA;1;Group 1;904;200;290;215;313;Turbine;0;904;
3;G2-ITA;17;ITA;1;Group 1;904;200;290;215;313;Turbine;0;904;
4;G4-ITA;17;ITA;1;Group 1;904;200;290;215;313;Turbine;0;904;
5;G5-ITA;17;ITA;1;Group 1;904;200;290;215;313;Turbine;0;904;
1;G1-MACHADINHO;26;MACHADINHO;1;Group 1;915;260;380;320;435;Turbine;0;915;
2;G2-MACHADINHO;26;MACHADINHO;1;Group 1;915;260;380;320;435;Turbine;0;915;
3;G3-MACHADINHO;26;MACHADINHO;1;Group 1;915;260;380;320;435;Turbine;0;915;
1;G1-CAMPOS NOVOS;32;CAMPOS NOVOS;1;Group 1;1157;120;293.3;116.4;194;Turbine;0;1157;
2;G2-CAMPOS NOVOS;32;CAMPOS NOVOS;1;Group 1;1157;120;293.3;116.4;194;Turbine;0;1157;Group changed after network reduction
3;G3-CAMPOS NOVOS;32;CAMPOS NOVOS;1;Group 1;1157;120;293.3;116.4;194;Turbine;0;1157;Group changed after network reduction
1;G1-BARRA GRANDE;34;BARRA GRANDE;1;Group 1;1150;190;230;100;164.8;Turbine;0;1150;
2;G2-BARRA GRANDE;34;BARRA GRANDE;1;Group 1;1150;190;230;100;164.8;Turbine;0;1150;
3;G3-BARRA GRANDE;34;BARRA GRANDE;1;Group 1;1150;190;230;100;164.8;Turbine;0;1150;
1;G1-SERRA MESA;22;SERRA MESA;1;Group 1;36;240;425;320;397;Turbine;0;36;
2;G2-SERRA MESA;22;SERRA MESA;1;Group 1;36;240;425;320;397;Turbine;0;36;
3;G3-SERRA MESA;22;SERRA MESA;1;Group 1;36;240;425;320;397;Turbine;0;36;
1;G1-LAJEADO;31;LAJEADO;1;Group 1;7206;100;180.5;340;680;Turbine;0;7206;
2;G2-LAJEADO;31;LAJEADO;1;Group 1;7206;100;180.5;340;680;Turbine;0;7206;
3;G3-LAJEADO;31;LAJEADO;1;Group 1;7206;100;180.5;340;680;Turbine;0;7206;
4;G4-LAJEADO;31;LAJEADO;1;Group 1;7206;100;180.5;340;680;Turbine;0;7206;
5;G5-LAJEADO;31;LAJEADO;1;Group 1;7206;100;180.5;340;680;Turbine;0;7206;
1;G1-ESTREITO;28;ESTREITO TOC;1;Group 1;5595;80;135.9;471.6;786;Turbine;0;5595;
2;G2-ESTREITO;28;ESTREITO TOC;1;Group 1;5595;80;135.9;471.6;786;Turbine;0;5595;
3;G3-ESTREITO;28;ESTREITO TOC;1;Group 1;5595;80;135.9;471.6;786;Turbine;0;5595;
4;G4-ESTREITO;28;ESTREITO TOC;1;Group 1;5595;80;135.9;471.6;786;Turbine;0;5595;
5;G5-ESTREITO;28;ESTREITO TOC;1;Group 1;5595;80;135.9;471.6;786;Turbine;0;5595;
6;G6-ESTREITO;28;ESTREITO TOC;1;Group 1;5595;80;135.9;471.6;786;Turbine;0;5595;
7;G7-ESTREITO;28;ESTREITO TOC;1;Group 1;5595;80;135.9;471.6;786;Turbine;0;5595;
8;G8-ESTREITO;28;ESTREITO TOC;1;Group 1;5595;80;135.9;471.6;786;Turbine;0;5595;
1;G1-TUCURUI;2;TUCURUI;1;Group 1;6425;0;22.5;0;37;Turbine;0;6425;
2;G2-TUCURUI;2;TUCURUI;1;Group 1;6425;0;22.5;0;37;Turbine;0;6425;
