<BEGIN>;;;;;;
<Buses>;;;;;;
ID;Name;Reference bus;Base voltage (kV);Area;Subsystem market - Name;Subsystem market - ID
10;ANGRA1UNE001;;1.3;44;SUDESTE/CENTRO-OESTE;1
11;ANGRA2UNE001;;1.3;44;SUDESTE/CENTRO-OESTE;1
12;LCBARRUHE002;;1.3;1;SUDESTE/CENTRO-OESTE;1
13;LCBARRSIN002;;1.2;1;SUDESTE/CENTRO-OESTE;1
14;FUNIL-UHE001;;1.3;1;SUDESTE/CENTRO-OESTE;1
16;FURNASUHE002;;1.3;1;SUDESTE/CENTRO-OESTE;1
17;FURNASSIN005;;1.2;1;SUDESTE/CENTRO-OESTE;1
18;ITUMBIUHE002;;1.3;99;SUDESTE/CENTRO-OESTE;1
19;ITUMBISIN004;;1.2;1;SUDESTE/CENTRO-OESTE;1
20;MARIMBUHE002;;1.3;1;SUDESTE/CENTRO-OESTE;1
21;MANSO-UHE001;;1.3;99;SUDESTE/CENTRO-OESTE;1
22;M.MORAUHE002;;1.3;1;SUDESTE/CENTRO-OESTE;1
24;M.MORBUHE001;;1.3;1;SUDESTE/CENTRO-OESTE;1
28;PCOLOMUHE001;;1.3;1;SUDESTE/CENTRO-OESTE;1
30;SCRU19UTE000;;1.3;1;SUDESTE/CENTRO-OESTE;1
31;SCRU13UTE000;;1.3;1;SUDESTE/CENTRO-OESTE;1
32;SCRU16UTE000;;1.3;1;SUDESTE/CENTRO-OESTE;1
35;CORUMBUHE002;;1.3;99;SUDESTE/CENTRO-OESTE;1
36;S.MESAUHE001;;1.3;99;SUDESTE/CENTRO-OESTE;1
37;S.MESASIN001;;1.2;1;SUDESTE/CENTRO-OESTE;1
38;GRAJA2SIN001;;1.2;1;SUDESTE/CENTRO-OESTE;1
41;VITOR2SIN001;;1.2;1;SUDESTE/CENTRO-OESTE;1
42;BAND-1CER345;;345;1;SUDESTE/CENTRO-OESTE;1
43;BAND-2CER345;;345;1;SUDESTE/CENTRO-OESTE;1
44;GRAJA1SIN001;;1.2;1;SUDESTE/CENTRO-OESTE;1
46;CAMPOSCER345;;345;1;SUDESTE/CENTRO-OESTE;1
47;VITOR1SIN001;;1.2;1;SUDESTE/CENTRO-OESTE;1
48;IBIUNASIN004;;1.2;1;SUDESTE/CENTRO-OESTE;1
49;CDOURA-GO000;;1.1;1;SUDESTE/CENTRO-OESTE;1
50;TPRETOSIN001;;1.2;1;SUDESTE/CENTRO-OESTE;1
51;CDOURA-GO013;;13.8;1;SUDESTE/CENTRO-OESTE;1
55;BALTO-CER230;;230;1;SUDESTE/CENTRO-OESTE;1
56;IVAIP3-PR069;;69;1;SUDESTE/CENTRO-OESTE;1
57;IVAIP2-PR069;;69;1;SUDESTE/CENTRO-OESTE;1
58;IVAIP2-PR000;;1.1;1;SUDESTE/CENTRO-OESTE;1
59;IVAIP3-PR000;;1.1;1;SUDESTE/CENTRO-OESTE;1
60;F.IGUA-PR765;;765;1;SUDESTE/CENTRO-OESTE;1
61;FZ-500-PR500;;500;1;SUDESTE/CENTRO-OESTE;1
62;IV-FZ1CAP765;;765;1;SUDESTE/CENTRO-OESTE;1
63;IV-FZ2CAP765;;765;1;SUDESTE/CENTRO-OESTE;1
64;IV-FZ3CAP765;;765;1;SUDESTE/CENTRO-OESTE;1
65;IVAIPO-PR765;;765;1;SUDESTE/CENTRO-OESTE;1
66;IVAIPO-PR525;;525;1;SUDESTE/CENTRO-OESTE;1
67;IVAIP1-PR069;;69;1;SUDESTE/CENTRO-OESTE;1
68;IVAIP1-PR000;;1.1;1;SUDESTE/CENTRO-OESTE;1
69;IV-IT1CAP765;;765;1;SUDESTE/CENTRO-OESTE;1
70;IV-IT2CAP765;;765;1;SUDESTE/CENTRO-OESTE;1
71;IV-IT3CAP765;;765;1;SUDESTE/CENTRO-OESTE;1
72;ITABER-SP765;;765;1;SUDESTE/CENTRO-OESTE;1
73;IT-TP1CAP765;;765;1;SUDESTE/CENTRO-OESTE;1
74;IT-TP2CAP765;;765;1;SUDESTE/CENTRO-OESTE;1
75;IT-TP3CAP765;;765;1;SUDESTE/CENTRO-OESTE;1
76;TPRETO-SP765;;765;1;SUDESTE/CENTRO-OESTE;1
77;TPRETO-SP500;;500;1;SUDESTE/CENTRO-OESTE;1
78;TPRETO-SP345;;345;1;SUDESTE/CENTRO-OESTE;1
79;TPRETO-SP069;;69;1;SUDESTE/CENTRO-OESTE;1
80;TPRET3-SP000;;1.1;1;SUDESTE/CENTRO-OESTE;1
81;TPRET4-SP000;;1.1;1;SUDESTE/CENTRO-OESTE;1
82;TPRET2-SP345;;345;1;SUDESTE/CENTRO-OESTE;1
84;RESEN2-RJ138;;138;10;SUDESTE/CENTRO-OESTE;1
85;FOZ500-PR500;Ref;500;1;SUDESTE/CENTRO-OESTE;1
86;IBIUNA-SP345;;345;1;SUDESTE/CENTRO-OESTE;1
87;RESEND-RJ500;;500;65;SUDESTE/CENTRO-OESTE;1
90;VIANA--ES345;;345;1;SUDESTE/CENTRO-OESTE;1
91;VIANA1-ES013;;13.8;11;SUDESTE/CENTRO-OESTE;1
92;SB-SM1CAP500;;500;1;SUDESTE/CENTRO-OESTE;1
93;SB-SM2CAP500;;500;1;SUDESTE/CENTRO-OESTE;1
94;SB-SM3CAP500;;500;1;SUDESTE/CENTRO-OESTE;1
95;VIANA2-ES013;;13.8;11;SUDESTE/CENTRO-OESTE;1
96;VIANA3-ES013;;13.8;1;SUDESTE/CENTRO-OESTE;1
98;JACAR1-RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
99;ARARAQ-SP525;;525;1;SUDESTE/CENTRO-OESTE;1
100;MARIMB-MG500;;500;1;SUDESTE/CENTRO-OESTE;1
101;ARARAQ-SP500;;500;1;SUDESTE/CENTRO-OESTE;1
102;P.CALD-MG500;;500;1;SUDESTE/CENTRO-OESTE;1
103;CAMPIN-SP500;;500;1;SUDESTE/CENTRO-OESTE;1
104;C.PAUL-SP500;;500;1;SUDESTE/CENTRO-OESTE;1
105;ANGRA--RJ500;;500;1;SUDESTE/CENTRO-OESTE;1
106;ADRIAN-RJ500;;500;1;SUDESTE/CENTRO-OESTE;1
107;GRAJAU-RJ500;;500;1;SUDESTE/CENTRO-OESTE;1
108;S.JOSE-RJ500;;500;1;SUDESTE/CENTRO-OESTE;1
109;BYPSAD-RJ500;;500;1;SUDESTE/CENTRO-OESTE;1
110;GR1T52-RJ000;;1.1;1;SUDESTE/CENTRO-OESTE;1
112;BA-IB1-PR500;;500;1;SUL;2
113;BA-IB2-PR500;;500;1;SUL;2
114;BA-IT1-PR500;;500;71;SUDESTE/CENTRO-OESTE;1
115;BA-IT1CAP500;;500;71;SUDESTE/CENTRO-OESTE;1
116;IMBTAP-RJ138;;138;1;SUDESTE/CENTRO-OESTE;1
118;BANDT4-GO000;;1.1;1;SUDESTE/CENTRO-OESTE;1
119;BANDTE-GO013;;13.2;1;SUDESTE/CENTRO-OESTE;1
120;P.CALD-MG345;;345;1;SUDESTE/CENTRO-OESTE;1
