<BEGIN>;;;;;;;;;;;;;;;;;;;
<Hydro plants>;;;;;;;;;;;;;;;;;;;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
1;ITAIPU;27695.19;29403.91;0;0;FALSE;219;220.3;72000;Paraná;Yes;72000;0;0;0;0;0;0;
2;TUCURUI;11293;50275;0;0;FALSE;51.6;74;10000;Tocantins;Yes;5000;0;0;0;0;0;0;
3;BELO MONTE;2015.87;2455.76;0;0;TRUE;97;97;50000;Xingú;Yes;5000;0;0;0;0;0;0;
4;JIRAU;1249.83;2746.7;STO ANTONIO;18;TRUE;82.5;90;50000;Madeira;Yes;50000;0;0;0;0;0;0;
5;STO ANTONIO;2077.3;2282.8;0;0;TRUE;70.5;71.3;50000;Madeira;Yes;50000;0;0;0;0;0;0;
6;I. SOLTEIRA;8232;21060;JUPIA;3;FALSE;314;328;15000;Paraná;Yes;15000;0;0;0;0;0;0;
7;XINGO;3759;3800;0;0;TRUE;138;138;33312;São Francisco;Yes;15000;0;0;0;0;0;0;
8;P.AFONSO 4;98;127.5;XINGO;3;TRUE;251.5;251.5;10000;São Francisco;Yes;10000;0;0;0;0;0;0;
9;ITUMBIARA;4573;17027;CACH.DOURADA;4;FALSE;495;520;6000;Paraná;Yes;6000;0;0;0;0;0;0;
10;TELES PIRES;897.22;897.22;SÃO MANOEL;4;TRUE;220;220;3000;Teles Pires;Yes;3000;0;0;0;0;0;0;
11;SAO SIMAO;7000;12540;I. SOLTEIRA;14;FALSE;390.5;401;8000;Paraná;No;2740;0;0;0;0;0;0;
12;G.B. MUNHOZ;1974;5779;SEGREDO;1;FALSE;700;742;4500;Iguaçu;Yes;1000;0;0;0;0;0;0;
13;JUPIA;3354;3354;P. PRIMAVERA;24;TRUE;280;280;25000;Paraná;Yes;25000;0;0;0;0;0;0;
