<BEGIN>
Bus/Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;
Bus1;36.7833;35.8654;35.31606;35.51366;36.94727;40.35261;48.91361;48.31663;46.59013;46.46541;45.92728;45.09907;44.9295;44.61419;44.14473;44.06065;45.45221;49.32421;49.83992;48.15967;47.64957;44.98976;41.45689;39.14883;36.92484;36.12045;36.32506;36.63616;37.85956;41.10094;48.53384;49.05795;48.07699;47.77289;47.86678;46.36171;
Bus2;14.42483;14.06486;13.84944;13.92692;14.48912;15.82455;19.18181;18.9477;18.27064;18.22173;18.0107;17.68591;17.61941;17.49576;17.31166;17.27869;17.8244;19.34283;19.54507;18.88615;18.68611;17.64304;16.2576;15.35248;14.48033;14.16488;14.24512;14.36712;14.84689;16.11802;19.03288;19.23841;18.85372;18.73447;18.77129;18.18106;
Bus3;28.12841;27.42649;27.0064;27.1575;28.25379;30.85788;37.40453;36.94801;35.62775;35.53237;35.12086;34.48752;34.35785;34.11673;33.75774;33.69344;34.75758;37.71852;38.11288;36.82798;36.43791;34.40393;31.70233;29.93734;28.23665;27.62152;27.77798;28.01589;28.95143;31.43013;37.11411;37.51491;36.76476;36.53221;36.60401;35.45307;
Bus4;28.12841;27.42649;27.0064;27.1575;28.25379;30.85788;37.40453;36.94801;35.62775;35.53237;35.12086;34.48752;34.35785;34.11673;33.75774;33.69344;34.75758;37.71852;38.11288;36.82798;36.43791;34.40393;31.70233;29.93734;28.23665;27.62152;27.77798;28.01589;28.95143;31.43013;37.11411;37.51491;36.76476;36.53221;36.60401;35.45307;
Bus5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus6;37.50455;36.56865;36.00854;36.21;37.67172;41.14384;49.8727;49.26401;47.50366;47.37649;46.82782;45.98336;45.81047;45.48898;45.01031;44.92458;46.34343;50.29136;50.81717;49.10398;48.58388;45.87191;42.26977;39.91645;37.64886;36.8287;37.03731;37.35452;38.60191;41.90684;49.48548;50.01987;49.01968;48.70962;48.80535;47.27076;
Bus7;13.70358;13.36162;13.15697;13.23058;13.76467;15.03332;18.22272;18.00031;17.35711;17.31064;17.11016;16.80161;16.73844;16.62097;16.44608;16.41475;16.93318;18.37569;18.56781;17.94184;17.7518;16.76089;15.44472;14.58486;13.75631;13.45664;13.53286;13.64877;14.10454;15.31212;18.08123;18.27649;17.91104;17.79774;17.83272;17.27201;
Bus8;20.19476;19.69081;19.38921;19.49769;20.28477;22.15437;26.85453;26.52677;25.5789;25.51042;25.21498;24.76027;24.66718;24.49407;24.23632;24.19016;24.95416;27.07996;27.36309;26.4406;26.16055;24.70026;22.76065;21.49347;20.27246;19.83084;19.94317;20.11397;20.78564;22.56522;26.64603;26.93378;26.39521;26.22825;26.2798;25.45349;
Bus9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Bus11;50.48689;49.22703;48.47303;48.74424;50.71193;55.38593;67.13633;66.31694;63.94724;63.77605;63.03744;61.90068;61.66794;61.23516;60.59081;60.4754;62.38539;67.6999;68.40773;66.10151;65.40137;61.75065;56.90162;53.73368;50.68116;49.57709;49.85792;50.28493;51.9641;56.41306;66.61507;67.33445;65.98803;65.57064;65.69951;63.63372;
Bus12;33.89834;33.05243;32.54618;32.72827;34.04944;37.1877;45.07725;44.52709;42.936;42.82106;42.32514;41.56189;41.40562;41.11504;40.6824;40.60491;41.88733;45.45565;45.93091;44.38244;43.91235;41.46115;38.20537;36.07833;34.02878;33.28748;33.47603;33.76274;34.89018;37.87734;44.72726;45.21027;44.30625;44.026;44.11253;42.72549;
Bus13;24.5222;23.91027;23.54404;23.67577;24.63151;26.90174;32.60907;32.21108;31.06009;30.97694;30.61819;30.06604;29.953;29.74279;29.42982;29.37377;30.30148;32.88281;33.22661;32.10645;31.76638;29.99317;27.63793;26.09922;24.61656;24.0803;24.2167;24.42411;25.23971;27.40063;32.35589;32.7053;32.05133;31.84859;31.91119;30.9078;
Bus14;10.09738;9.84541;9.69461;9.74885;10.14239;11.07719;13.42727;13.26339;12.78945;12.75521;12.60749;12.38014;12.33359;12.24703;12.11816;12.09508;12.47708;13.53998;13.68155;13.2203;13.08027;12.35013;11.38032;10.74674;10.13623;9.91542;9.97158;10.05699;10.39282;11.28261;13.32301;13.46689;13.19761;13.11413;13.1399;12.72674;
Bus15;64.91171;63.29189;62.32247;62.67116;65.20106;71.21049;86.31814;85.26463;82.21788;81.99778;81.04814;79.58659;79.28735;78.73093;77.90247;77.75408;80.20979;87.04273;87.9528;84.98766;84.08748;79.39369;73.15922;69.08616;65.16149;63.74198;64.10304;64.65205;66.81099;72.53108;85.64795;86.57286;84.84175;84.3051;84.4708;81.81478;
Bus16;18.03103;17.58108;17.3118;17.40866;18.1114;19.78069;23.97726;23.68462;22.8383;22.77716;22.51337;22.10739;22.02427;21.8697;21.63957;21.59836;22.2805;24.17854;24.43133;23.60768;23.35763;22.0538;20.32201;19.1906;18.10041;17.70611;17.8064;17.9589;18.55861;20.14752;23.7911;24.04802;23.56715;23.41808;23.46411;22.72633;
Bus17;7.93365;7.73568;7.61719;7.65981;7.96902;8.7035;10.54999;10.42123;10.04885;10.02195;9.90588;9.72725;9.69068;9.62267;9.52141;9.50328;9.80342;10.63856;10.74979;10.38738;10.27736;9.70367;8.94168;8.44386;7.96418;7.79069;7.83482;7.90192;8.16579;8.86491;10.46808;10.58113;10.36955;10.30396;10.32421;9.99958;
Bus18;43.27448;42.19459;41.54831;41.78077;43.46737;47.47366;57.54543;56.84309;54.81192;54.66519;54.03209;53.05773;52.85824;52.48728;51.93498;51.83606;53.47319;58.02849;58.6352;56.65844;56.05832;52.92913;48.77281;46.05744;43.44099;42.49465;42.73536;43.10137;44.54066;48.35405;57.09863;57.71524;56.56117;56.2034;56.31386;54.54318;
Bus19;32.45586;31.64594;31.16123;31.33558;32.60053;35.60524;43.15907;42.63232;41.10894;40.99889;40.52407;39.79329;39.64368;39.36546;38.95123;38.87704;40.10489;43.52137;43.9764;42.49383;42.04374;39.69685;36.57961;34.54308;32.58074;31.87099;32.05152;32.32602;33.4055;36.26554;42.82398;43.28643;42.42087;42.15255;42.2354;40.90739;
Bus20;12.98234;12.65838;12.46449;12.53423;13.04021;14.2421;17.26363;17.05293;16.44358;16.39956;16.20963;15.91732;15.85747;15.74619;15.58049;15.55082;16.04196;17.40855;17.59056;16.99753;16.8175;15.87874;14.63184;13.81723;13.0323;12.7484;12.82061;12.93041;13.3622;14.50622;17.12959;17.31457;16.96835;16.86102;16.89416;16.36296;
Bus21;10.09738;9.84541;9.69461;9.74885;10.14239;11.07719;13.42727;13.26339;12.78945;12.75521;12.60749;12.38014;12.33359;12.24703;12.11816;12.09508;12.47708;13.53998;13.68155;13.2203;13.08027;12.35013;11.38032;10.74674;10.13623;9.91542;9.97158;10.05699;10.39282;11.28261;13.32301;13.46689;13.19761;13.11413;13.1399;12.72674;
Bus22;7.21241;7.03243;6.92472;6.96346;7.24456;7.91228;9.5909;9.47385;9.13532;9.11086;9.00535;8.84295;8.80971;8.74788;8.65583;8.63934;8.9122;9.67141;9.77253;9.44307;9.34305;8.82152;8.1288;7.67624;7.24017;7.08244;7.12256;7.18356;7.42344;8.05901;9.51644;9.61921;9.42686;9.36723;9.38564;9.09053;
Bus23;5.04869;4.9227;4.8473;4.87442;5.07119;5.53859;6.71363;6.63169;6.39472;6.37761;6.30374;6.19007;6.16679;6.12352;6.05908;6.04754;6.23854;6.76999;6.84077;6.61015;6.54014;6.17507;5.69016;5.37337;5.06812;4.95771;4.98579;5.02849;5.19641;5.64131;6.66151;6.73344;6.5988;6.55706;6.56995;6.36337;
