<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
1;g1;98.16710922186334;1;FALSE;FALSE;24;
2;g2;99.85752579375627;1;FALSE;FALSE;24;
3;g3;0.0;0;FALSE;FALSE;24;
4;g4;0.0;0;FALSE;FALSE;24;
5;g5;0.0;1;FALSE;FALSE;24;
6;g6;175.47127197064282;1;FALSE;FALSE;24;
7;g7;0.0;0;FALSE;FALSE;24;
8;g8;98.98943849775324;1;FALSE;FALSE;24;
9;g9;97.34594501316089;1;FALSE;FALSE;24;
10;g10;98.99289129606161;1;FALSE;FALSE;24;
11;g11;311.90932161249054;1;FALSE;FALSE;24;
12;g12;0.0;0;FALSE;FALSE;24;
13;g13;98.43716885120108;1;FALSE;FALSE;24;
14;g14;0.0;0;FALSE;FALSE;24;
15;g15;97.28547217237954;1;FALSE;FALSE;24;
16;g16;0.0;0;FALSE;FALSE;24;
17;g17;0.0;0;FALSE;FALSE;24;
18;g18;0.0;0;FALSE;FALSE;24;
19;g19;0.0;0;FALSE;FALSE;24;
20;g20;119.0;1;FALSE;FALSE;24;
21;g21;302.07463242616944;1;FALSE;FALSE;24;
22;g22;0.0;0;FALSE;FALSE;24;
23;g23;0.0;0;FALSE;FALSE;24;
24;g24;0.0;0;FALSE;FALSE;24;
25;g25;248.56584293910095;1;FALSE;FALSE;24;
26;g26;254.38203878142826;1;FALSE;FALSE;24;
27;g27;0.0;0;FALSE;FALSE;24;
28;g28;0.0;1;FALSE;FALSE;24;
29;g29;0.0;1;FALSE;FALSE;24;
30;g30;0.0;0;FALSE;FALSE;24;
31;g31;0.0;0;FALSE;FALSE;24;
32;g32;99.76251184523413;1;FALSE;FALSE;24;
33;g33;0.0;0;FALSE;FALSE;24;
34;g34;0.0;0;FALSE;FALSE;24;
35;g35;0.0;0;FALSE;FALSE;24;
36;g36;0.0;0;FALSE;FALSE;24;
37;g37;0.0;1;FALSE;FALSE;24;
38;g38;99.18705715574718;1;FALSE;FALSE;24;
39;g39;0.0;0;FALSE;FALSE;24;
40;g40;0.0;0;FALSE;FALSE;24;
41;g41;0.0;0;FALSE;FALSE;24;
42;g42;98.92597787376654;1;FALSE;FALSE;24;
43;g43;98.13219154231015;1;FALSE;FALSE;24;
44;g44;0.0;0;FALSE;FALSE;24;
45;g45;0.0;0;FALSE;FALSE;24;
46;g46;0.0;0;FALSE;FALSE;24;
47;g47;99.27082667819819;1;FALSE;FALSE;24;
48;g48;98.24208990227625;1;FALSE;FALSE;24;
49;g49;99.72457756517353;1;FALSE;FALSE;24;
50;g50;31.249977262468278;1;FALSE;FALSE;24;
51;g51;134.7140388921391;1;FALSE;FALSE;24;
52;g52;0.0;0;FALSE;FALSE;24;
53;g53;99.81760270667768;1;FALSE;FALSE;24;
54;g54;0.0;0;FALSE;FALSE;24;
</Thermal plants>
</END>
