<BEGIN>;
<Hydro plants>;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
</Hydro plants>;
<Thermal plants>;
ID;Name;Minimum power output (MW);Maximum power output (MW);Unitary linear cost ($/MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus id;Constant cost ($);Start-up cost ($);Shut-down cost ($);Comments
1;g1;7.969857319386977;98.16710922186334;14.14094426261357;68.72;68.72;1;1;1;0;180.02232068567335;0;
2;g2;4.1271066838720545;99.85752579375627;11.846340282543776;69.9;69.9;1;1;4;0;125.83243753905836;0;
3;g3;3.0837334002242764;99.92801687848976;12.431322148252642;69.95;69.95;1;1;6;0;100.34045273079703;0;
4;g4;3.0464626901542213;99.52216988006066;15.235106029904145;69.67;69.67;4;4;8;0;100.7156914134034;0;
5;g5;0.0;550.0;15.138192042628264;385.0;385.0;0;0;10;0;0;0;
6;g6;21.84869391818014;175.47127197064282;18.908221746187067;122.83;122.83;2;2;12;0;272.01849555368597;0;
7;g7;3.363196859714727;99.10460494847622;14.487596518412637;69.37;69.37;4;4;15;0;110.76587516995512;0;
8;g8;4.031841916460877;98.98943849775324;16.416109718629357;69.29;69.29;1;1;18;0;131.213447380291;0;
9;g9;9.708207624368303;97.34594501316089;17.694008198123015;68.14;68.14;2;2;19;0;185.70166516855417;0;
10;g10;4.510518700176984;98.99289129606161;15.62750321111549;69.3;69.3;2;2;24;0;170.23770211489355;0;
11;g11;45.84653827141652;311.90932161249054;31.887311385998924;218.34;218.34;2;2;25;0;602.4187127426688;0;
12;g12;19.959640250500104;411.41312557279707;12.309795166562703;287.99;287.99;4;4;26;0;92.64398723273435;0;
13;g13;6.3580588655690535;98.43716885120108;14.906493701101176;68.91;68.91;4;4;27;0;166.50122646971772;0;
14;g14;4.185807869018688;107.0;14.802447521695747;74.9;74.9;2;2;31;0;116.28156179227464;0;
15;g15;10.089935019980313;97.28547217237954;18.093586927467964;68.1;68.1;2;2;32;0;158.12247438167617;0;
16;g16;5.8228918340219105;98.6006403432188;15.034953009828131;69.02;69.02;1;1;34;0;146.40407907655586;0;
17;g17;7.720744512564047;98.04745745893645;16.443450187519428;68.63;68.63;1;1;36;0;137.20628001042752;0;
18;g18;4.972576191615305;99.39091089652288;13.190674137322615;69.57;69.57;2;2;40;0;108.37105302750565;0;
19;g19;5.084539577285054;98.74040118422052;18.570863914185164;69.12;69.12;1;1;42;0;99.21871447819989;0;
20;g20;0.0;119.0;15.570796577962211;83.3;83.3;0;0;46;0;193.52617778900046;0;
21;g21;37.30972766588992;302.07463242616944;34.516466839790716;211.45;211.45;1;1;49;0;700.7119268658892;0;
22;g22;4.888034381805093;146.1018578943067;14.67422492025009;102.27;102.27;1;1;54;0;122.41551144338125;0;
23;g23;5.701399850745736;98.62394386937974;17.524772599057616;69.04;69.04;4;4;55;0;109.47574358629434;0;
24;g24;10.492021632092277;97.05536227239233;20.051286107789284;67.94;67.94;2;2;56;0;191.0199773803357;0;
25;g25;37.3988278009675;248.56584293910095;25.655891944962917;174.0;174.0;4;4;59;0;327.27082886220865;0;
26;g26;41.14755603161888;254.38203878142826;24.369918307432787;178.07;178.07;1;1;61;0;316.6451907302111;0;
27;g27;0.6014460717317671;99.76224122982812;15.759365269412529;69.83;69.83;2;2;62;0;51.49502159313651;0;
28;g28;0.0;491.0;13.056265989952154;343.7;343.7;0;0;65;0;80.04043778131442;0;
29;g29;0.0;492.0;15.311552352999794;344.4;344.4;0;0;66;0;95.86997915775665;0;
30;g30;8.309440927254679;805.2;2.6486965159699616;563.64;563.64;4;4;69;0;1115.2968762010248;0;
31;g31;9.83782257806029;97.53028857789903;16.482344960783944;68.27;68.27;2;2;70;0;191.36377253880642;0;
32;g32;1.5599749428886116;99.76251184523413;17.193001590958694;69.83;69.83;1;1;72;0;115.71576777665362;0;
33;g33;12.485641700470296;96.39806007841685;17.17175280130225;67.48;67.48;4;4;73;0;180.21079241166694;0;
34;g34;5.833940001347999;98.55776282619834;15.232864059585722;68.99;68.99;2;2;74;0;104.44932577627782;0;
35;g35;5.438632781920648;98.4031018451733;19.513969250571257;68.88;68.88;1;1;76;0;145.8149865460633;0;
36;g36;4.862983559316647;99.234545786546;12.584165889964607;69.46;69.46;2;2;77;0;136.51092352186214;0;
37;g37;0.0;577.0;17.010837372716633;403.9;403.9;0;0;80;0;108.53812042682864;0;
38;g38;5.18489206249245;99.18705715574718;13.869657238360226;69.43;69.43;1;1;85;0;135.5937575949666;0;
39;g39;0.7501569046046119;104.0;13.607150138932417;72.8;72.8;1;1;87;0;104.62529586014521;0;
40;g40;16.911939233705496;703.098624407363;0.0;492.17;492.17;1;1;89;0;312.6780029621607;0;
41;g41;3.308254381469832;99.34470188681334;13.630708031722158;69.54;69.54;4;4;90;0;91.42034165492659;0;
42;g42;5.072947612634055;98.92597787376654;15.89325386691338;69.25;69.25;2;2;91;0;158.3003386537445;0;
43;g43;8.07587039100648;98.13219154231015;17.62045337804196;68.69;68.69;4;4;92;0;173.30988595799943;0;
44;g44;4.649653467954944;98.93017758707215;15.374695515843932;69.25;69.25;4;4;99;0;125.65457326699001;0;
45;g45;14.36765561873115;350.9790067167118;0.0;245.69;245.69;1;1;100;0;434.986871609829;0;
46;g46;2.4912924420898417;137.84447979959398;15.568695251582968;96.49;96.49;4;4;103;0;172.4273836751811;0;
